Entity,Year,"Share of workers in financial sector (GGDC, 2017)","Share of population in financial sector (GGDC, 2017)",Share of workers in financial sector
Botswana,1969,0.002907532,0.002907532,
Botswana,1970,0.003132744,0.003132744,
Botswana,1971,0.00448624,0.00448624,
Botswana,1972,0.005135264,0.005135264,
Botswana,1973,0.00508704,0.00508704,
Botswana,1974,0.005062442,0.005062442,
Botswana,1975,0.002809043,0.002809043,
Botswana,1976,0.003565283,0.003565283,
Botswana,1977,0.003064269,0.003064269,
Botswana,1978,0.003233806,0.003233806,
Botswana,1979,0.003861809,0.003861809,
Botswana,1980,0.004745395,0.004745395,
Botswana,1981,0.0050213,0.0050213,
Botswana,1982,0.005637556,0.005637556,
Botswana,1983,0.005733625,0.005733625,
Botswana,1984,0.005730463,0.005730463,
Botswana,1985,0.006085117,0.006085117,
Botswana,1986,0.006418564,0.006418564,
Botswana,1987,0.008248113,0.008248113,
Botswana,1988,0.00915485,0.00915485,
Botswana,1989,0.010405714,0.010405714,
Botswana,1990,0.011352182,0.011352182,
Botswana,1991,0.012843761,0.012843761,
Botswana,1992,0.013841148,0.013841148,
Botswana,1993,0.0143403,0.0143403,
Botswana,1994,0.013742964,0.013742964,
Botswana,1995,0.014703426,0.014703426,
Botswana,1996,0.015131242,0.015131242,
Botswana,1997,0.013742226,0.013742226,
Botswana,1998,0.013496835,0.013496835,
Botswana,1999,0.015182255,0.015182255,
Botswana,2000,0.016726428,0.016726428,
Botswana,2001,0.017129409,0.017129409,
Botswana,2002,0.016538903,0.016538903,
Botswana,2003,0.016497414,0.016497414,
Botswana,2004,0.017367816,0.017367816,
Botswana,2005,0.017286906,0.017286906,
Botswana,2006,0.017874069,0.017874069,
Botswana,2007,0.019627315,0.019627315,
Botswana,2008,0.021516934,0.021516934,
Botswana,2009,0.021291352,0.021291352,
Botswana,2010,0.023189114,0.023189114,
Brazil,1960,0.011474438,0.011474438,
Brazil,1961,0.012023111,0.012023111,
Brazil,1962,0.012595,0.012595,
Brazil,1963,0.013194407,0.013194407,
Brazil,1964,0.013827172,0.013827172,
Brazil,1965,0.01449844,0.01449844,
Brazil,1966,0.015211101,0.015211101,
Brazil,1967,0.015966842,0.015966842,
Brazil,1968,0.016768383,0.016768383,
Brazil,1969,0.017618255,0.017618255,
Brazil,1970,0.018518912,0.018518912,
Brazil,1971,0.02074752,0.02074752,
Brazil,1972,0.022891822,0.022891822,
Brazil,1973,0.024988461,0.024988461,
Brazil,1974,0.027334173,0.027334173,
Brazil,1975,0.02988744,0.02988744,
Brazil,1976,0.032664667,0.032664667,
Brazil,1977,0.034323616,0.034323616,
Brazil,1978,0.035862161,0.035862161,
Brazil,1979,0.036548241,0.036548241,
Brazil,1980,0.034284644,0.034284644,
Brazil,1981,0.035350135,0.035350135,
Brazil,1982,0.038068604,0.038068604,
Brazil,1983,0.040764412,0.040764412,
Brazil,1984,0.041641078,0.041641078,
Brazil,1985,0.044401582,0.044401582,
Brazil,1986,0.040101006,0.040101006,
Brazil,1987,0.041489239,0.041489239,
Brazil,1988,0.041033204,0.041033204,
Brazil,1989,0.043388608,0.043388608,
Brazil,1990,0.041453438,0.041453438,
Brazil,1991,0.040809864,0.040809864,
Brazil,1992,0.039958969,0.039958969,
Brazil,1993,0.038968814,0.038968814,
Brazil,1994,0.039039855,0.039039855,
Brazil,1995,0.039318248,0.039318248,
Brazil,1996,0.03860691,0.03860691,
Brazil,1997,0.038580546,0.038580546,
Brazil,1998,0.037878843,0.037878843,
Brazil,1999,0.039021149,0.039021149,
Brazil,2000,0.040370878,0.040370878,
Brazil,2001,0.040599948,0.040599948,
Brazil,2002,0.041936734,0.041936734,
Brazil,2003,0.04237779,0.04237779,
Brazil,2004,0.044647823,0.044647823,
Brazil,2005,0.045383853,0.045383853,
Brazil,2006,0.047493046,0.047493046,
Brazil,2007,0.049395597,0.049395597,
Brazil,2008,0.050723866,0.050723866,
Brazil,2009,0.051660164,0.051660164,
Brazil,2010,0.056478125,0.056478125,
Brazil,2011,0.060454109,0.060454109,
Chile,1960,0.007884817,0.007884817,
Chile,1961,0.00713787,0.00713787,
Chile,1962,0.006986746,0.006986746,
Chile,1963,0.007654067,0.007654067,
Chile,1964,0.006970937,0.006970937,
Chile,1965,0.007101164,0.007101164,
Chile,1966,0.007260516,0.007260516,
Chile,1967,0.007419079,0.007419079,
Chile,1968,0.007441994,0.007441994,
Chile,1969,0.007760494,0.007760494,
Chile,1970,0.007864575,0.007864575,
Chile,1971,0.008041904,0.008041904,
Chile,1972,0.007670323,0.007670323,
Chile,1973,0.007389095,0.007389095,
Chile,1974,0.007293758,0.007293758,
Chile,1975,0.006550479,0.006550479,
Chile,1976,0.006498584,0.006498584,
Chile,1977,0.006794743,0.006794743,
Chile,1978,0.007058784,0.007058784,
Chile,1979,0.00769306,0.00769306,
Chile,1980,0.009405356,0.009405356,
Chile,1981,0.009845829,0.009845829,
Chile,1982,0.008592616,0.008592616,
Chile,1983,0.009661706,0.009661706,
Chile,1984,0.010626053,0.010626053,
Chile,1985,0.01116115,0.01116115,
Chile,1986,0.012279777,0.012279777,
Chile,1987,0.013640174,0.013640174,
Chile,1988,0.014458544,0.014458544,
Chile,1989,0.015462786,0.015462786,
Chile,1990,0.016870098,0.016870098,
Chile,1991,0.018915629,0.018915629,
Chile,1992,0.020115429,0.020115429,
Chile,1993,0.02273795,0.02273795,
Chile,1994,0.02605543,0.02605543,
Chile,1995,0.028352349,0.028352349,
Chile,1996,0.031473153,0.031473153,
Chile,1997,0.032994658,0.032994658,
Chile,1998,0.035485815,0.035485815,
Chile,1999,0.037132599,0.037132599,
Chile,2000,0.039175594,0.039175594,
Chile,2001,0.03992466,0.03992466,
Chile,2002,0.041539746,0.041539746,
Chile,2003,0.04321523,0.04321523,
Chile,2004,0.04534799,0.04534799,
Chile,2005,0.048169963,0.048169963,
Chile,2006,0.048985655,0.048985655,
Chile,2007,0.050997063,0.050997063,
Chile,2008,0.052770283,0.052770283,
Chile,2009,0.05436799,0.05436799,
Chile,2010,0.047153976,0.047153976,
Chile,2011,0.048821614,0.048821614,
Chile,2012,0.049327035,0.049327035,
China,1960,0.005433855,0.005433855,
China,1961,0.003524027,0.003524027,
China,1962,0.002769301,0.002769301,
China,1963,0.002766081,0.002766081,
China,1964,0.00282156,0.00282156,
China,1965,0.002869293,0.002869293,
China,1966,0.002831313,0.002831313,
China,1967,0.002835369,0.002835369,
China,1968,0.002874159,0.002874159,
China,1969,0.002768592,0.002768592,
China,1970,0.002715053,0.002715053,
China,1971,0.002752153,0.002752153,
China,1972,0.002736844,0.002736844,
China,1973,0.002681554,0.002681554,
China,1974,0.002734878,0.002734878,
China,1975,0.002781534,0.002781534,
China,1976,0.002908079,0.002908079,
China,1977,0.003192017,0.003192017,
China,1978,0.003661787,0.003661787,
China,1979,0.003879956,0.003879956,
China,1980,0.004132005,0.004132005,
China,1981,0.004293435,0.004293435,
China,1982,0.004351262,0.004351262,
China,1983,0.004342396,0.004342396,
China,1984,0.004438593,0.004438593,
China,1985,0.004515353,0.004515353,
China,1986,0.004655025,0.004655025,
China,1987,0.00481999,0.00481999,
China,1988,0.004960505,0.004960505,
China,1989,0.004894026,0.004894026,
China,1990,0.005441026,0.005441026,
China,1991,0.005887727,0.005887727,
China,1992,0.00634645,0.00634645,
China,1993,0.005958938,0.005958938,
China,1994,0.005956291,0.005956291,
China,1995,0.00618496,0.00618496,
China,1996,0.006427714,0.006427714,
China,1997,0.0064157,0.0064157,
China,1998,0.006302248,0.006302248,
China,1999,0.006528477,0.006528477,
China,2000,0.006351203,0.006351203,
China,2001,0.006384559,0.006384559,
China,2002,0.006382725,0.006382725,
China,2003,0.006488383,0.006488383,
China,2004,0.006724767,0.006724767,
China,2005,0.006895493,0.006895493,
China,2006,0.007062981,0.007062981,
China,2007,0.007102172,0.007102172,
China,2008,0.007263699,0.007263699,
China,2009,0.007449527,0.007449527,
China,2010,0.008099785,0.008099785,
China,2011,0.008029137,0.008029137,
Colombia,1960,0.014082605,0.014082605,
Colombia,1961,0.014287172,0.014287172,
Colombia,1962,0.014663806,0.014663806,
Colombia,1963,0.014566892,0.014566892,
Colombia,1964,0.015046737,0.015046737,
Colombia,1965,0.015040438,0.015040438,
Colombia,1966,0.015016376,0.015016376,
Colombia,1967,0.014950932,0.014950932,
Colombia,1968,0.015120604,0.015120604,
Colombia,1969,0.01517484,0.01517484,
Colombia,1970,0.015628287,0.015628287,
Colombia,1971,0.016893793,0.016893793,
Colombia,1972,0.018274904,0.018274904,
Colombia,1973,0.019771487,0.019771487,
Colombia,1974,0.021380792,0.021380792,
Colombia,1975,0.023806548,0.023806548,
Colombia,1976,0.023122399,0.023122399,
Colombia,1977,0.026555549,0.026555549,
Colombia,1978,0.025691418,0.025691418,
Colombia,1979,0.024375871,0.024375871,
Colombia,1980,0.025198721,0.025198721,
Colombia,1981,0.024901052,0.024901052,
Colombia,1982,0.025735331,0.025735331,
Colombia,1983,0.023937507,0.023937507,
Colombia,1984,0.023258458,0.023258458,
Colombia,1985,0.02006277,0.02006277,
Colombia,1986,0.01912135,0.01912135,
Colombia,1987,0.020273679,0.020273679,
Colombia,1988,0.021517942,0.021517942,
Colombia,1989,0.022162934,0.022162934,
Colombia,1990,0.020940104,0.020940104,
Colombia,1991,0.019787969,0.019787969,
Colombia,1992,0.014306397,0.014306397,
Colombia,1993,0.020419297,0.020419297,
Colombia,1994,0.020647706,0.020647706,
Colombia,1995,0.023262412,0.023262412,
Colombia,1996,0.024884744,0.024884744,
Colombia,1997,0.027965117,0.027965117,
Colombia,1998,0.026789032,0.026789032,
Colombia,1999,0.024642334,0.024642334,
Colombia,2000,0.023275548,0.023275548,
Colombia,2001,0.023064964,0.023064964,
Colombia,2002,0.023902752,0.023902752,
Colombia,2003,0.025023151,0.025023151,
Colombia,2004,0.02655684,0.02655684,
Colombia,2005,0.028263688,0.028263688,
Colombia,2006,0.02820062,0.02820062,
Colombia,2007,0.03486513,0.03486513,
Colombia,2008,0.039167267,0.039167267,
Colombia,2009,0.034931553,0.034931553,
Colombia,2010,0.039636225,0.039636225,
Costa Rica,1960,0.004767552,0.004767552,
Costa Rica,1961,0.004975308,0.004975308,
Costa Rica,1962,0.004689101,0.004689101,
Costa Rica,1963,0.005208015,0.005208015,
Costa Rica,1964,0.005357166,0.005357166,
Costa Rica,1965,0.005246738,0.005246738,
Costa Rica,1966,0.005408657,0.005408657,
Costa Rica,1967,0.005731352,0.005731352,
Costa Rica,1968,0.005741905,0.005741905,
Costa Rica,1969,0.005911779,0.005911779,
Costa Rica,1970,0.006003529,0.006003529,
Costa Rica,1971,0.006161392,0.006161392,
Costa Rica,1972,0.006218895,0.006218895,
Costa Rica,1973,0.006548533,0.006548533,
Costa Rica,1974,0.006864919,0.006864919,
Costa Rica,1975,0.007367321,0.007367321,
Costa Rica,1976,0.007452972,0.007452972,
Costa Rica,1977,0.007578573,0.007578573,
Costa Rica,1978,0.007742526,0.007742526,
Costa Rica,1979,0.007888334,0.007888334,
Costa Rica,1980,0.008037835,0.008037835,
Costa Rica,1981,0.008136234,0.008136234,
Costa Rica,1982,0.008441351,0.008441351,
Costa Rica,1983,0.009038571,0.009038571,
Costa Rica,1984,0.008775463,0.008775463,
Costa Rica,1985,0.011458763,0.011458763,
Costa Rica,1986,0.011841141,0.011841141,
Costa Rica,1987,0.009059136,0.009059136,
Costa Rica,1988,0.009510436,0.009510436,
Costa Rica,1989,0.010812255,0.010812255,
Costa Rica,1990,0.011519404,0.011519404,
Costa Rica,1991,0.013175295,0.013175295,
Costa Rica,1992,0.013828369,0.013828369,
Costa Rica,1993,0.016894156,0.016894156,
Costa Rica,1994,0.018204918,0.018204918,
Costa Rica,1995,0.01805341,0.01805341,
Costa Rica,1996,0.019478866,0.019478866,
Costa Rica,1997,0.023194298,0.023194298,
Costa Rica,1998,0.025471259,0.025471259,
Costa Rica,1999,0.024363988,0.024363988,
Costa Rica,2000,0.027212631,0.027212631,
Costa Rica,2001,0.038686274,0.038686274,
Costa Rica,2002,0.041749287,0.041749287,
Costa Rica,2003,0.04137755,0.04137755,
Costa Rica,2004,0.041927912,0.041927912,
Costa Rica,2005,0.039829459,0.039829459,
Costa Rica,2006,0.041240979,0.041240979,
Costa Rica,2007,0.046568066,0.046568066,
Costa Rica,2008,0.05123169,0.05123169,
Costa Rica,2009,0.046468117,0.046468117,
Costa Rica,2010,0.048331099,0.048331099,
Costa Rica,2011,0.048804428,0.048804428,
Denmark,1960,0.018262783,0.018262783,
Denmark,1961,0.0173179,0.0173179,
Denmark,1962,0.018791164,0.018791164,
Denmark,1963,0.019326327,0.019326327,
Denmark,1964,0.01987244,0.01987244,
Denmark,1965,0.020325818,0.020325818,
Denmark,1966,0.020528423,0.020528423,
Denmark,1967,0.021013023,0.021013023,
Denmark,1968,0.02291729,0.02291729,
Denmark,1969,0.023610355,0.023610355,
Denmark,1970,0.025064265,0.025064265,
Denmark,1971,0.026254863,0.026254863,
Denmark,1972,0.027397217,0.027397217,
Denmark,1973,0.027994598,0.027994598,
Denmark,1974,0.028550828,0.028550828,
Denmark,1975,0.029354207,0.029354207,
Denmark,1976,0.029449504,0.029449504,
Denmark,1977,0.030158044,0.030158044,
Denmark,1978,0.031493947,0.031493947,
Denmark,1979,0.032770337,0.032770337,
Denmark,1980,0.033541776,0.033541776,
Denmark,1981,0.03335589,0.03335589,
Denmark,1982,0.03386856,0.03386856,
Denmark,1983,0.034326233,0.034326233,
Denmark,1984,0.03581672,0.03581672,
Denmark,1985,0.037206884,0.037206884,
Denmark,1986,0.038790627,0.038790627,
Denmark,1987,0.040954521,0.040954521,
Denmark,1988,0.040860899,0.040860899,
Denmark,1989,0.043107572,0.043107572,
Denmark,1990,0.042849458,0.042849458,
Denmark,1991,0.042981933,0.042981933,
Denmark,1992,0.042014345,0.042014345,
Denmark,1993,0.04118594,0.04118594,
Denmark,1994,0.041483367,0.041483367,
Denmark,1995,0.042450443,0.042450443,
Denmark,1996,0.043634196,0.043634196,
Denmark,1997,0.044755043,0.044755043,
Denmark,1998,0.047051413,0.047051413,
Denmark,1999,0.050289949,0.050289949,
Denmark,2000,0.053449162,0.053449162,
Denmark,2001,0.0565718,0.0565718,
Denmark,2002,0.057416474,0.057416474,
Denmark,2003,0.057060528,0.057060528,
Denmark,2004,0.05730811,0.05730811,
Denmark,2005,0.059329465,0.059329465,
Denmark,2006,0.062716745,0.062716745,
Denmark,2007,0.068154578,0.068154578,
Denmark,2008,0.069506771,0.069506771,
Denmark,2009,0.067882948,0.067882948,
Denmark,2010,0.062439716,0.062439716,
Denmark,2011,0.060772413,0.060772413,
Egypt,1960,0.002214995,0.002214995,
Egypt,1961,0.002162726,0.002162726,
Egypt,1962,0.002083299,0.002083299,
Egypt,1963,0.001999016,0.001999016,
Egypt,1964,0.001925381,0.001925381,
Egypt,1965,0.001851614,0.001851614,
Egypt,1966,0.001815049,0.001815049,
Egypt,1967,0.002407681,0.002407681,
Egypt,1968,0.00227759,0.00227759,
Egypt,1969,0.002160695,0.002160695,
Egypt,1970,0.002036906,0.002036906,
Egypt,1971,0.001964352,0.001964352,
Egypt,1972,0.001934581,0.001934581,
Egypt,1973,0.002138074,0.002138074,
Egypt,1974,0.002168313,0.002168313,
Egypt,1975,0.002190877,0.002190877,
Egypt,1976,0.002173088,0.002173088,
Egypt,1977,0.002478208,0.002478208,
Egypt,1978,0.002948721,0.002948721,
Egypt,1979,0.003272432,0.003272432,
Egypt,1980,0.003413259,0.003413259,
Egypt,1981,0.003507311,0.003507311,
Egypt,1982,0.003807206,0.003807206,
Egypt,1983,0.00390515,0.00390515,
Egypt,1984,0.004266903,0.004266903,
Egypt,1985,0.004392598,0.004392598,
Egypt,1986,0.004582804,0.004582804,
Egypt,1987,0.004825329,0.004825329,
Egypt,1988,0.005030941,0.005030941,
Egypt,1989,0.005237519,0.005237519,
Egypt,1990,0.005467668,0.005467668,
Egypt,1991,0.005723598,0.005723598,
Egypt,1992,0.005823102,0.005823102,
Egypt,1993,0.006244075,0.006244075,
Egypt,1994,0.006607832,0.006607832,
Egypt,1995,0.007114578,0.007114578,
Egypt,1996,0.007399266,0.007399266,
Egypt,1997,0.007297528,0.007297528,
Egypt,1998,0.007395794,0.007395794,
Egypt,1999,0.00781497,0.00781497,
Egypt,2000,0.008111181,0.008111181,
Egypt,2001,0.008146085,0.008146085,
Egypt,2002,0.008121873,0.008121873,
Egypt,2003,0.008190667,0.008190667,
Egypt,2004,0.008309488,0.008309488,
Egypt,2005,0.0085095,0.0085095,
Egypt,2006,0.008657219,0.008657219,
Egypt,2007,0.009053445,0.009053445,
Egypt,2008,0.009254935,0.009254935,
Egypt,2009,0.009513673,0.009513673,
Egypt,2010,0.009527062,0.009527062,
Egypt,2011,0.009485022,0.009485022,
Egypt,2012,0.009480083,0.009480083,
Ethiopia,1961,0.000609387,0.000609387,
Ethiopia,1962,0.000590723,0.000590723,
Ethiopia,1963,0.00057139,0.00057139,
Ethiopia,1964,0.000547622,0.000547622,
Ethiopia,1965,0.000531913,0.000531913,
Ethiopia,1966,0.000544056,0.000544056,
Ethiopia,1967,0.000528957,0.000528957,
Ethiopia,1968,0.000482971,0.000482971,
Ethiopia,1969,0.000473039,0.000473039,
Ethiopia,1970,0.000464037,0.000464037,
Ethiopia,1971,0.000456178,0.000456178,
Ethiopia,1972,0.000438022,0.000438022,
Ethiopia,1973,0.000430535,0.000430535,
Ethiopia,1974,0.000429661,0.000429661,
Ethiopia,1975,0.000440534,0.000440534,
Ethiopia,1976,0.000447361,0.000447361,
Ethiopia,1977,0.000424164,0.000424164,
Ethiopia,1978,0.000425614,0.000425614,
Ethiopia,1979,0.000417581,0.000417581,
Ethiopia,1980,0.000415457,0.000415457,
Ethiopia,1981,0.000413,0.000413,
Ethiopia,1982,0.000400188,0.000400188,
Ethiopia,1983,0.000421754,0.000421754,
Ethiopia,1984,0.000367344,0.000367344,
Ethiopia,1985,0.000382262,0.000382262,
Ethiopia,1986,0.000370725,0.000370725,
Ethiopia,1987,0.000407583,0.000407583,
Ethiopia,1988,0.000446821,0.000446821,
Ethiopia,1989,0.000426054,0.000426054,
Ethiopia,1990,0.000418437,0.000418437,
Ethiopia,1991,0.000410185,0.000410185,
Ethiopia,1992,0.000382758,0.000382758,
Ethiopia,1993,0.000410523,0.000410523,
Ethiopia,1994,0.000445961,0.000445961,
Ethiopia,1995,0.000476019,0.000476019,
Ethiopia,1996,0.000510253,0.000510253,
Ethiopia,1997,0.000547473,0.000547473,
Ethiopia,1998,0.000559281,0.000559281,
Ethiopia,1999,0.000588462,0.000588462,
Ethiopia,2000,0.000621265,0.000621265,
Ethiopia,2001,0.000674463,0.000674463,
Ethiopia,2002,0.000750694,0.000750694,
Ethiopia,2003,0.000816999,0.000816999,
Ethiopia,2004,0.000864467,0.000864467,
Ethiopia,2005,0.000944585,0.000944585,
Ethiopia,2006,0.001098087,0.001098087,
Ethiopia,2007,0.001254932,0.001254932,
Ethiopia,2008,0.001488896,0.001488896,
Ethiopia,2009,0.001714469,0.001714469,
Ethiopia,2010,0.001964018,0.001964018,
Ethiopia,2011,0.002385908,0.002385908,
France,1960,0.021199395,0.021199395,
France,1961,0.020882958,0.020882958,
France,1962,0.019413299,0.019413299,
France,1963,0.020025591,0.020025591,
France,1964,0.020313601,0.020313601,
France,1965,0.021255415,0.021255415,
France,1966,0.022192835,0.022192835,
France,1967,0.023332267,0.023332267,
France,1968,0.024475642,0.024475642,
France,1969,0.026121567,0.026121567,
France,1970,0.027571492,0.027571492,
France,1971,0.028395146,0.028395146,
France,1972,0.029321921,0.029321921,
France,1973,0.030488526,0.030488526,
France,1974,0.031576743,0.031576743,
France,1975,0.032053892,0.032053892,
France,1976,0.032477033,0.032477033,
France,1977,0.03363412,0.03363412,
France,1978,0.034561095,0.034561095,
France,1979,0.035768242,0.035768242,
France,1980,0.036681726,0.036681726,
France,1981,0.037323974,0.037323974,
France,1982,0.037580902,0.037580902,
France,1983,0.03802158,0.03802158,
France,1984,0.038488042,0.038488042,
France,1985,0.039035838,0.039035838,
France,1986,0.04022747,0.04022747,
France,1987,0.041813606,0.041813606,
France,1988,0.043889708,0.043889708,
France,1989,0.046011201,0.046011201,
France,1990,0.047450472,0.047450472,
France,1991,0.048109373,0.048109373,
France,1992,0.048197779,0.048197779,
France,1993,0.047538431,0.047538431,
France,1994,0.048719714,0.048719714,
France,1995,0.049180493,0.049180493,
France,1996,0.049719598,0.049719598,
France,1997,0.051461819,0.051461819,
France,1998,0.054248234,0.054248234,
France,1999,0.056862592,0.056862592,
France,2000,0.060678845,0.060678845,
France,2001,0.063100751,0.063100751,
France,2002,0.063187171,0.063187171,
France,2003,0.062279817,0.062279817,
France,2004,0.062671341,0.062671341,
France,2005,0.062954108,0.062954108,
France,2006,0.064332152,0.064332152,
France,2007,0.066323807,0.066323807,
France,2008,0.068047869,0.068047869,
France,2009,0.06513535,0.06513535,
France,2010,0.066309964,0.066309964,
France,2011,0.0680648,0.0680648,
Ghana,1960,0.001057198,0.001057198,
Ghana,1961,0.001087985,0.001087985,
Ghana,1962,0.001095339,0.001095339,
Ghana,1963,0.001176521,0.001176521,
Ghana,1964,0.001088748,0.001088748,
Ghana,1965,0.001084899,0.001084899,
Ghana,1966,0.001150903,0.001150903,
Ghana,1967,0.001323606,0.001323606,
Ghana,1968,0.001233574,0.001233574,
Ghana,1969,0.001076606,0.001076606,
Ghana,1970,0.001093084,0.001093084,
Ghana,1971,0.001147109,0.001147109,
Ghana,1972,0.001191266,0.001191266,
Ghana,1973,0.001217142,0.001217142,
Ghana,1974,0.001298049,0.001298049,
Ghana,1975,0.001125272,0.001125272,
Ghana,1976,0.001231404,0.001231404,
Ghana,1977,0.001422687,0.001422687,
Ghana,1978,0.001602345,0.001602345,
Ghana,1979,0.001635002,0.001635002,
Ghana,1980,0.001736943,0.001736943,
Ghana,1981,0.001846298,0.001846298,
Ghana,1982,0.001932339,0.001932339,
Ghana,1983,0.00201574,0.00201574,
Ghana,1984,0.002231715,0.002231715,
Ghana,1985,0.002311873,0.002311873,
Ghana,1986,0.002515078,0.002515078,
Ghana,1987,0.002691915,0.002691915,
Ghana,1988,0.002912459,0.002912459,
Ghana,1989,0.003077068,0.003077068,
Ghana,1990,0.003336805,0.003336805,
Ghana,1991,0.003248862,0.003248862,
Ghana,1992,0.003419232,0.003419232,
Ghana,1993,0.003630951,0.003630951,
Ghana,1994,0.003833669,0.003833669,
Ghana,1995,0.004009953,0.004009953,
Ghana,1996,0.004250017,0.004250017,
Ghana,1997,0.004614914,0.004614914,
Ghana,1998,0.005002893,0.005002893,
Ghana,1999,0.005296263,0.005296263,
Ghana,2000,0.005654848,0.005654848,
Ghana,2001,0.005844229,0.005844229,
Ghana,2002,0.006094256,0.006094256,
Ghana,2003,0.006338349,0.006338349,
Ghana,2004,0.006562429,0.006562429,
Ghana,2005,0.006976779,0.006976779,
Ghana,2006,0.007513439,0.007513439,
Ghana,2007,0.008046761,0.008046761,
