Entity,Year,Historical urban fraction estimate per region (HYDE 3.1 (2010)),Total urban area per world region (HYDE 3.1 (2010)),Historical rural fraction estimate per region (HYDE 3.1 (2010))
Ukraine,500,0,0,
Ukraine,1000,0,0,
Ukraine,1500,.1,2,
Ukraine,1600,.30000001,6,
Ukraine,1700,.89999998,22,
Ukraine,1800,1.1,33,
Ukraine,1900,10.3,691,
Ukraine,1950,33,3096,
Ukraine,2000,66.099998,8126,
United States,-10000,0,0,
United States,-5000,0,0,
United States,0,0,0,
United States,500,0,0,
United States,1000,0,0,
United States,1500,.2,4,
United States,1600,.69999999,4,
United States,1700,2,15,
United States,1800,6.0999999,139,
United States,1900,39.599998,10766,
United States,1950,64.199997,46336,
United States,2000,79.099998,156919,
Western Africa,-10000,0,0,
Western Africa,-5000,0,0,
Western Africa,0,0,0,
Western Africa,500,0,0,
Western Africa,1000,0,1,
Western Africa,1500,.1,120,
Western Africa,1600,.2,362,
Western Africa,1700,.69999999,1096,
Western Africa,1800,2,978,
Western Africa,1900,5.8000002,565,
Western Africa,1950,11.2,1235,
Western Africa,2000,37.900002,13680,
Western Europe,-10000,0,0,
Western Europe,-5000,0,2,
Western Europe,0,1.5,342,
Western Europe,500,1.4,230,
Western Europe,1000,3.5,619,
Western Europe,1500,10.6,2072,
Western Europe,1600,12.2,3070,
Western Europe,1700,12.8,2864,
Western Europe,1800,21.4,3905,
Western Europe,1900,40.599998,11438,
Western Europe,1950,61.5,30307,
Western Europe,2000,75.300003,83617,
World,-10000,0,0,
World,-5000,.1,158,
World,0,1,4237,
World,500,1.7,4964,
World,1000,2.5999999,6172,
World,1500,4.0999999,10238,
World,1600,5.1999998,14609,
World,1700,5.0999999,14104,
World,1800,7.3000002,16243,
World,1900,16.4,46697,
World,1950,29.1,140391,
World,2000,46.799999,538395,
