Entity,Year,"Share of children dying in first 5 years globally, by cause (IHME (2017))",Deaths (IHME (2017))
Drowning,2015,,56088.30447
Drug use disorders,1990,,30.20765913
Drug use disorders,2015,,27.39849785
Ebola,1990,,0
Ebola,2015,,415.4957674
Encephalitis,1990,,62337.00836
Encephalitis,2015,,42895.30891
Endocarditis,1990,,5330.997003
Endocarditis,2015,,3486.952338
"Endocrine, metabolic, blood, and immune disorders",1990,,20572.96591
"Endocrine, metabolic, blood, and immune disorders",2015,,12426.53053
Environmental heat and cold exposure,1990,,7292.899263
Environmental heat and cold exposure,2015,,2515.360409
Epilepsy,1990,,18777.35148
Epilepsy,2015,,12672.75839
Exposure to forces of nature,1990,,5797.81223
Exposure to forces of nature,2015,,857.2665894
Exposure to mechanical forces,1990,,56933.02129
Exposure to mechanical forces,2015,,28750.89833
Falls,1990,,39630.98747
Falls,2015,,23344.18737
"Fire, heat, and hot substances",1990,,54060.53657
"Fire, heat, and hot substances",2015,,22485.25059
Foreign body,1990,,72934.87763
Foreign body,2015,,39573.0443
Gallbladder and biliary diseases,1990,,3356.590528
Gallbladder and biliary diseases,2015,,1140.660557
Gastritis and duodenitis,1990,,1955.881197
Gastritis and duodenitis,2015,,814.1335145
Hemoglobinopathies and hemolytic anemias,1990,,90264.99159
Hemoglobinopathies and hemolytic anemias,2015,,83521.64276
Hemolytic disease and other neonatal jaundice,1990,,124653.3591
Hemolytic disease and other neonatal jaundice,2015,,45088.4251
Hepatitis,1990,,42281.93585
Hepatitis,2015,,10517.21736
HIV/AIDS,1990,,35602.92251
HIV/AIDS,2015,,88882.25072
Hodgkin lymphoma,1990,,1115.087637
Hodgkin lymphoma,2015,,234.2491219
Hypertensive heart disease,1990,,1090.887912
Hypertensive heart disease,2015,,410.2420639
Inflammatory bowel disease,1990,,4140.11288
Inflammatory bowel disease,2015,,1733.510176
"Inguinal, femoral, and abdominal hernia",1990,,2274.709473
"Inguinal, femoral, and abdominal hernia",2015,,724.8716185
Interpersonal violence,1990,,23959.51853
Interpersonal violence,2015,,10515.94566
Interstitial lung disease and pulmonary sarcoidosis,1990,,382.8812266
Interstitial lung disease and pulmonary sarcoidosis,2015,,301.7576569
Intestinal infectious diseases,1990,,71361.46387
Intestinal infectious diseases,2015,,42159.07505
Intestinal nematode infections,1990,,5575.722518
Intestinal nematode infections,2015,,1856.793144
Iodine deficiency,1990,,1345.055524
Iodine deficiency,2015,,541.1201655
Iron-deficiency anemia,1990,,17660.68805
Iron-deficiency anemia,2015,,15070.1103
Ischemic heart disease,1990,,7466.397881
Ischemic heart disease,2015,,2366.965707
Kidney cancer,1990,,2553.915065
Kidney cancer,2015,,2674.600355
Leishmaniasis,1990,,4101.749483
Leishmaniasis,2015,,3784.728605
Leukemia,1990,,21173.14811
Leukemia,2015,,14562.44367
Lower respiratory infections,1990,,2125305.036
Lower respiratory infections,2015,,703917.8602
Malaria,1990,,701371.0158
Malaria,2015,,474146.0983
Measles,1990,,729199.3081
Measles,2015,,62588.44518
Meningitis,1990,,318443.5613
Meningitis,2015,,173058.4535
Motor neuron disease,1990,,1742.23701
Motor neuron disease,2015,,886.8514656
Neonatal encephalopathy due to birth asphyxia and trauma,1990,,915323.0982
Neonatal encephalopathy due to birth asphyxia and trauma,2015,,740424.3197
Neonatal preterm birth complications,1990,,1795211.197
Neonatal preterm birth complications,2015,,805778.5348
Neonatal sepsis and other neonatal infections,1990,,329296.9479
Neonatal sepsis and other neonatal infections,2015,,351667.1491
Non-Hodgkin lymphoma,1990,,3942.672107
Non-Hodgkin lymphoma,2015,,3272.928084
Other cardiovascular and circulatory diseases,1990,,32041.03498
Other cardiovascular and circulatory diseases,2015,,11529.19814
Other chronic respiratory diseases,1990,,31516.53401
Other chronic respiratory diseases,2015,,12885.01615
Other digestive diseases,1990,,13815.85408
Other digestive diseases,2015,,3020.161155
Other infectious diseases,1990,,47569.35503
Other infectious diseases,2015,,31162.54208
Other neglected tropical diseases,1990,,12497.09921
Other neglected tropical diseases,2015,,7205.356069
Other neonatal disorders,1990,,351304.4548
Other neonatal disorders,2015,,220247.2543
Other neoplasms,1990,,14703.74549
Other neoplasms,2015,,12567.24136
Other neurological disorders,1990,,5142.64982
Other neurological disorders,2015,,3728.136604
Other nutritional deficiencies,1990,,17044.46815
Other nutritional deficiencies,2015,,2796.891198
Other transport injuries,1990,,8534.849567
Other transport injuries,2015,,4212.071058
Other unintentional injuries,1990,,19201.66577
Other unintentional injuries,2015,,9042.11168
Otitis media,1990,,3408.364463
Otitis media,2015,,1016.633891
Pancreatitis,1990,,533.9240145
Pancreatitis,2015,,192.5926251
Paralytic ileus and intestinal obstruction,1990,,15719.80624
Paralytic ileus and intestinal obstruction,2015,,7623.307922
Peptic ulcer disease,1990,,7361.059013
Peptic ulcer disease,2015,,1885.683647
Poisonings,1990,,43300.0338
Poisonings,2015,,18412.35657
Protein-energy malnutrition,1990,,402153.0968
Protein-energy malnutrition,2015,,174414.9172
Rabies,1990,,8694.930478
Rabies,2015,,2278.284722
Rheumatic heart disease,1990,,7790.690769
Rheumatic heart disease,2015,,2492.450027
Road injuries,1990,,105342.5815
Road injuries,2015,,49521.30576
Schistosomiasis,1990,,284.9384782
Schistosomiasis,2015,,37.08132002
Sexually transmitted diseases excluding HIV,1990,,180353.0298
Sexually transmitted diseases excluding HIV,2015,,90502.12706
Skin and subcutaneous diseases,1990,,5722.211163
Skin and subcutaneous diseases,2015,,6149.186795
Sudden infant death syndrome,1990,,28230.77974
Sudden infant death syndrome,2015,,19153.12269
Tetanus,1990,,251051.9515
Tetanus,2015,,25497.04366
Tuberculosis,1990,,63944.89486
Tuberculosis,2015,,22300.88407
Upper respiratory infections,1990,,1904.980638
Upper respiratory infections,2015,,731.2024594
Urinary diseases and male infertility,1990,,10672.00974
Urinary diseases and male infertility,2015,,6469.208359
Varicella and herpes zoster,1990,,4161.07398
Varicella and herpes zoster,2015,,1743.428096
Vascular intestinal disorders,1990,,889.5257268
Vascular intestinal disorders,2015,,393.0450397
Whooping cough,1990,,150045.0626
Whooping cough,2015,,54492.70285
Yellow fever,1990,,1276.247766
Yellow fever,2015,,459.7716976
