Entity,Year,Number of disasters (EMDAT (2017)),Total deaths (EMDAT (2017)),Injured (EMDAT (2017)),Affected (EMDAT (2017)),Homeless (EMDAT (2017)),Total affected (EMDAT (2017)),Total economic damage (EMDAT (2017))
Earthquake,1988,,27049,,,,,
Earthquake,1989,,650,,,,,
Earthquake,1990,,42853,,,,,
Earthquake,1991,,2454,,,,,
Earthquake,1992,,4033,,,,,
Earthquake,1993,,10088,,,,,
Earthquake,1994,,1242,,,,,
Earthquake,1995,,7739,,,,,
Earthquake,1996,,576,,,,,
Earthquake,1997,,3159,,,,,
Earthquake,1998,,9573,,,,,
Earthquake,1999,,21869,,,,,
Earthquake,2000,,217,,,,,
Earthquake,2001,,21348,,,,,
Earthquake,2002,,1639,,,,,
Earthquake,2003,,29617,,,,,
Earthquake,2004,,227290,,,,,
Earthquake,2005,,76241,,,,,
Earthquake,2006,,6692,,,,,
Earthquake,2007,,780,,,,,
Earthquake,2008,,87918,,,,,
Earthquake,2009,,1893,,,,,
Earthquake,2010,,226733,,,,,
Earthquake,2011,,20946,,,,,
Earthquake,2012,,711,,,,,
Earthquake,2013,,1120,,,,,
Earthquake,2014,,774,,,,,
Earthquake,2015,,9550,,,,,
Earthquake,2016,,1311,,,,,
Earthquake,2017,,861,,,,,
Epidemic,1970,,939,,,,,
Epidemic,1971,,2313,,,,,
Epidemic,1972,,35,,,,,
Epidemic,1974,,1500,,,,,
Epidemic,1976,,396,,,,,
Epidemic,1977,,1184,,,,,
Epidemic,1978,,3060,,,,,
Epidemic,1979,,486,,,,,
Epidemic,1980,,1685,,,,,
Epidemic,1981,,2497,,,,,
Epidemic,1982,,2912,,,,,
Epidemic,1983,,1219,,,,,
Epidemic,1984,,7016,,,,,
Epidemic,1985,,5854,,,,,
Epidemic,1986,,3046,,,,,
Epidemic,1987,,2592,,,,,
Epidemic,1988,,15216,,,,,
Epidemic,1989,,1870,,,,,
Epidemic,1990,,2207,,,,,
Epidemic,1991,,30682,,,,,
Epidemic,1992,,6675,,,,,
Epidemic,1993,,651,,,,,
Epidemic,1994,,2505,,,,,
Epidemic,1995,,4428,,,,,
Epidemic,1996,,16887,,,,,
Epidemic,1997,,10674,,,,,
Epidemic,1998,,12931,,,,,
Epidemic,1999,,6293,,,,,
Epidemic,2000,,6980,,,,,
Epidemic,2001,,8515,,,,,
Epidemic,2002,,8762,,,,,
Epidemic,2003,,3522,,,,,
Epidemic,2004,,3245,,,,,
Epidemic,2005,,3909,,,,,
Epidemic,2006,,6402,,,,,
Epidemic,2007,,5484,,,,,
Epidemic,2008,,6904,,,,,
Epidemic,2009,,4895,,,,,
Epidemic,2010,,12143,,,,,
Epidemic,2011,,3174,,,,,
Epidemic,2012,,1887,,,,,
Epidemic,2013,,529,,,,,
Epidemic,2014,,12911,,,,,
Epidemic,2015,,1032,,,,,
Epidemic,2016,,1520,,,,,
Epidemic,2017,,1725,,,,,
Extreme temperature,1971,,400,,,,,
Extreme temperature,1972,,110,,,,,
Extreme temperature,1973,,283,,,,,
Extreme temperature,1975,,140,,,,,
Extreme temperature,1978,,150,,,,,
Extreme temperature,1979,,470,,,,,
Extreme temperature,1980,,1389,,,,,
Extreme temperature,1981,,300,,,,,
Extreme temperature,1982,,400,,,,,
Extreme temperature,1983,,205,,,,,
Extreme temperature,1984,,290,,,,,
Extreme temperature,1985,,456,,,,,
Extreme temperature,1986,,50,,,,,
Extreme temperature,1987,,1220,,,,,
Extreme temperature,1988,,644,,,,,
Extreme temperature,1989,,381,,,,,
Extreme temperature,1990,,979,,,,,
Extreme temperature,1991,,835,,,,,
Extreme temperature,1992,,388,,,,,
Extreme temperature,1993,,106,,,,,
Extreme temperature,1994,,341,,,,,
Extreme temperature,1995,,1730,,,,,
Extreme temperature,1996,,300,,,,,
Extreme temperature,1997,,604,,,,,
Extreme temperature,1998,,3269,,,,,
Extreme temperature,1999,,771,,,,,
Extreme temperature,2000,,941,,,,,
Extreme temperature,2001,,1787,,,,,
Extreme temperature,2002,,3369,,,,,
Extreme temperature,2003,,74698,,,,,
Extreme temperature,2004,,255,,,,,
Extreme temperature,2005,,1550,,,,,
Extreme temperature,2006,,4826,,,,,
Extreme temperature,2007,,1086,,,,,
Extreme temperature,2008,,1688,,,,,
Extreme temperature,2009,,1386,,,,,
Extreme temperature,2010,,57188,,,,,
Extreme temperature,2011,,435,,,,,
Extreme temperature,2012,,1834,,,,,
Extreme temperature,2013,,1821,,,,,
Extreme temperature,2014,,1168,,,,,
Extreme temperature,2015,,7425,,,,,
Extreme temperature,2016,,490,,,,,
Extreme temperature,2017,,133,,,,,
Extreme weather,1970,,304495,,,,,
Extreme weather,1971,,10811,,,,,
Extreme weather,1972,,1427,,,,,
Extreme weather,1973,,4344,,,,,
Extreme weather,1974,,11861,,,,,
Extreme weather,1975,,1041,,,,,
Extreme weather,1976,,1763,,,,,
Extreme weather,1977,,15298,,,,,
Extreme weather,1978,,3676,,,,,
Extreme weather,1979,,2623,,,,,
Extreme weather,1980,,1379,,,,,
Extreme weather,1981,,3790,,,,,
Extreme weather,1982,,2782,,,,,
Extreme weather,1983,,3656,,,,,
Extreme weather,1984,,5468,,,,,
Extreme weather,1985,,17165,,,,,
Extreme weather,1986,,1939,,,,,
Extreme weather,1987,,2900,,,,,
Extreme weather,1988,,3335,,,,,
Extreme weather,1989,,4256,,,,,
Extreme weather,1990,,4604,,,,,
Extreme weather,1991,,146297,,,,,
Extreme weather,1992,,1342,,,,,
Extreme weather,1993,,2965,,,,,
Extreme weather,1994,,4239,,,,,
Extreme weather,1995,,3763,,,,,
Extreme weather,1996,,4581,,,,,
Extreme weather,1997,,6150,,,,,
Extreme weather,1998,,24935,,,,,
Extreme weather,1999,,12270,,,,,
Extreme weather,2000,,1354,,,,,
Extreme weather,2001,,1911,,,,,
Extreme weather,2002,,1382,,,,,
Extreme weather,2003,,1049,,,,,
Extreme weather,2004,,6547,,,,,
Extreme weather,2005,,5251,,,,,
Extreme weather,2006,,4329,,,,,
Extreme weather,2007,,6035,,,,,
Extreme weather,2008,,140985,,,,,
Extreme weather,2009,,3287,,,,,
Extreme weather,2010,,1564,,,,,
Extreme weather,2011,,3103,,,,,
Extreme weather,2012,,3105,,,,,
Extreme weather,2013,,8603,,,,,
Extreme weather,2014,,1424,,,,,
Extreme weather,2015,,1270,,,,,
Extreme weather,2016,,1760,,,,,
Extreme weather,2017,,1014,,,,,
Flood,1970,,3246,,,,,
Flood,1971,,2404,,,,,
Flood,1972,,2548,,,,,
Flood,1973,,1835,,,,,
Flood,1974,,29431,,,,,
Flood,1975,,848,,,,,
Flood,1976,,960,,,,,
Flood,1977,,2568,,,,,
Flood,1978,,5897,,,,,
Flood,1979,,1038,,,,,
Flood,1980,,10466,,,,,
Flood,1981,,5283,,,,,
Flood,1982,,4648,,,,,
Flood,1983,,2082,,,,,
Flood,1984,,2930,,,,,
Flood,1985,,4376,,,,,
Flood,1986,,1782,,,,,
Flood,1987,,6766,,,,,
Flood,1988,,8504,,,,,
Flood,1989,,4716,,,,,
Flood,1990,,2251,,,,,
Flood,1991,,5852,,,,,
Flood,1992,,5315,,,,,
Flood,1993,,6150,,,,,
Flood,1994,,6771,,,,,
Flood,1995,,7956,,,,,
Flood,1996,,8047,,,,,
Flood,1997,,7685,,,,,
Flood,1998,,10653,,,,,
Flood,1999,,34807,,,,,
Flood,2000,,6025,,,,,
Flood,2001,,5014,,,,,
Flood,2002,,4236,,,,,
Flood,2003,,3910,,,,,
Flood,2004,,6982,,,,,
Flood,2005,,5754,,,,,
Flood,2006,,5843,,,,,
Flood,2007,,8607,,,,,
Flood,2008,,4007,,,,,
Flood,2009,,3627,,,,,
Flood,2010,,8356,,,,,
Flood,2011,,6163,,,,,
Flood,2012,,3544,,,,,
Flood,2013,,9836,,,,,
Flood,2014,,3532,,,,,
Flood,2015,,3495,,,,,
Flood,2016,,4720,,,,,
Flood,2017,,3086,,,,,
Landslide,1970,,186,,,,,
Landslide,1971,,1020,,,,,
Landslide,1972,,755,,,,,
Landslide,1973,,3541,,,,,
Landslide,1974,,904,,,,,
Landslide,1975,,195,,,,,
Landslide,1976,,315,,,,,
Landslide,1977,,40,,,,,
Landslide,1978,,86,,,,,
Landslide,1979,,338,,,,,
Landslide,1980,,300,,,,,
Landslide,1981,,421,,,,,
Landslide,1982,,640,,,,,
Landslide,1983,,1159,,,,,
Landslide,1984,,228,,,,,
Landslide,1985,,377,,,,,
Landslide,1986,,501,,,,,
Landslide,1987,,1204,,,,,
Landslide,1988,,952,,,,,
Landslide,1989,,445,,,,,
Landslide,1990,,98,,,,,
Landslide,1991,,728,,,,,
Landslide,1992,,712,,,,,
Landslide,1993,,1418,,,,,
Landslide,1994,,307,,,,,
Landslide,1995,,1521,,,,,
Landslide,1996,,1155,,,,,
Landslide,1997,,801,,,,,
Landslide,1998,,1141,,,,,
Landslide,1999,,445,,,,,
Landslide,2000,,1012,,,,,
Landslide,2001,,786,,,,,
Landslide,2002,,1100,,,,,
Landslide,2003,,706,,,,,
Landslide,2004,,313,,,,,
Landslide,2005,,664,,,,,
Landslide,2006,,1638,,,,,
Landslide,2007,,271,,,,,
Landslide,2008,,504,,,,,
Landslide,2009,,723,,,,,
Landslide,2010,,3427,,,,,
Landslide,2011,,309,,,,,
Landslide,2012,,501,,,,,
Landslide,2013,,235,,,,,
Landslide,2014,,943,,,,,
Landslide,2015,,1006,,,,,
Landslide,2016,,361,,,,,
Landslide,2017,,2080,,,,,
Mass movement (dry),1970,,42,,,,,
Mass movement (dry),1971,,31,,,,,
Mass movement (dry),1980,,50,,,,,
Mass movement (dry),1982,,59,,,,,
Mass movement (dry),1983,,466,,,,,
Mass movement (dry),1985,,300,,,,,
Mass movement (dry),1987,,183,,,,,
Mass movement (dry),1988,,157,,,,,
Mass movement (dry),1989,,55,,,,,
Mass movement (dry),1990,,116,,,,,
Mass movement (dry),1991,,86,,,,,
Mass movement (dry),1992,,323,,,,,
Mass movement (dry),1993,,341,,,,,
Mass movement (dry),2000,,11,,,,,
Mass movement (dry),2002,,60,,,,,
Mass movement (dry),2004,,44,,,,,
Mass movement (dry),2006,,11,,,,,
Mass movement (dry),2008,,120,,,,,
Mass movement (dry),2009,,36,,,,,
Mass movement (dry),2012,,16,,,,,
Mass movement (dry),2013,,46,,,,,
Mass movement (dry),2015,,13,,,,,
Volcanic activity,1975,,2,,,,,
Volcanic activity,1976,,41,,,,,
Volcanic activity,1977,,215,,,,,
Volcanic activity,1979,,268,,,,,
Volcanic activity,1980,,90,,,,,
Volcanic activity,1981,,192,,,,,
Volcanic activity,1982,,130,,,,,
Volcanic activity,1984,,37,,,,,
Volcanic activity,1985,,21800,,,,,
Volcanic activity,1986,,1746,,,,,
Volcanic activity,1988,,7,,,,,
Volcanic activity,1990,,33,,,,,
Volcanic activity,1991,,683,,,,,
Volcanic activity,1992,,1,,,,,
Volcanic activity,1993,,99,,,,,
Volcanic activity,1994,,101,,,,,
Volcanic activity,1996,,4,,,,,
Volcanic activity,1997,,53,,,,,
Volcanic activity,2002,,200,,,,,
Volcanic activity,2004,,2,,,,,
Volcanic activity,2005,,3,,,,,
Volcanic activity,2006,,5,,,,,
Volcanic activity,2007,,11,,,,,
Volcanic activity,2008,,16,,,,,
Volcanic activity,2010,,323,,,,,
Volcanic activity,2011,,3,,,,,
Volcanic activity,2014,,102,,,,,
Volcanic activity,2017,,0,,,,,
Wildfire,1977,,3,,,,,
Wildfire,1978,,2,,,,,
Wildfire,1981,,8,,,,,
Wildfire,1982,,2,,,,,
Wildfire,1983,,106,,,,,
Wildfire,1984,,17,,,,,
Wildfire,1985,,51,,,,,
Wildfire,1986,,20,,,,,
Wildfire,1987,,191,,,,,
Wildfire,1989,,1,,,,,
Wildfire,1991,,90,,,,,
Wildfire,1992,,122,,,,,
Wildfire,1993,,3,,,,,
Wildfire,1994,,84,,,,,
Wildfire,1995,,29,,,,,
Wildfire,1996,,45,,,,,
Wildfire,1997,,266,,,,,
Wildfire,1998,,150,,,,,
Wildfire,1999,,70,,,,,
Wildfire,2000,,47,,,,,
Wildfire,2001,,33,,,,,
Wildfire,2002,,6,,,,,
Wildfire,2003,,47,,,,,
Wildfire,2004,,14,,,,,
Wildfire,2005,,45,,,,,
Wildfire,2006,,13,,,,,
Wildfire,2007,,148,,,,,
Wildfire,2008,,86,,,,,
Wildfire,2009,,190,,,,,
Wildfire,2010,,166,,,,,
Wildfire,2011,,10,,,,,
Wildfire,2012,,21,,,,,
Wildfire,2013,,35,,,,,
Wildfire,2014,,16,,,,,
Wildfire,2015,,67,,,,,
Wildfire,2016,,39,,,,,
Wildfire,2017,,167,,,,,
