Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Afghanistan,1845,0,,,,,,,,,,,,,,,
Afghanistan,1850,0,,,,,,,,,,,,,,,
Afghanistan,1855,0,,,,,,,,,,,,,,,
Afghanistan,1860,0,,,,,,,,,,,,,,,
Afghanistan,1865,0,,,,,,,,,,,,,,,
Afghanistan,1870,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1875,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1880,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1885,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1890,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1895,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1900,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1905,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1910,0,,,,,,0,0.01,,,,,,,,
Afghanistan,1915,0,,,,,,0.1,0.02,,,,,,,,
Afghanistan,1920,0,,,,,,0.1,0.03,,,,,,,,
Afghanistan,1925,0,,,,,,0.1,0.04,,,,,,,,
Afghanistan,1930,0,,,,,,0.1,0.04,,,,,,,,
Afghanistan,1935,0,,,,,,0.1,0.05,,,,,,,,
Afghanistan,1940,0,,,,,,0.5,0.2,,,,,,,,
Afghanistan,1945,2.8,,,,,,0.6,0.22,,,,,,,,
Afghanistan,1950,3.5,,,,,,0.6,0.26,,,,,,,,
Afghanistan,1955,4.7,,,,,,0.7,0.3,,,,,,,,
Afghanistan,1960,7.3,,,,,,0.9,0.38,,,,,,,,
Afghanistan,1965,12.9,,,,,,1.2,0.43,,,,,,,,
Afghanistan,1970,17,,,,,,2.2,0.72,,,,,,,,
Afghanistan,1975,21,,,,,,3,0.96,,,,,,,,
Afghanistan,1980,29,,,,,,4,1.29,,,,,,,,
Afghanistan,1985,15,,,,,,4.9,1.73,,,,,,,,
Afghanistan,1990,19.4,,,,,,5.7,2.06,,,,,,,,
Afghanistan,1995,46.1,,,,,,6.4,2.4,,,,,,,,
Afghanistan,2000,17.6,,,,,,6.8,3.03,,,,,,,,
Afghanistan,2005,82.3,,,,,,7,3.32,,,,,,,,
Afghanistan,2010,83.2,,,,,,7.1,3.93,,,,,,,,
Albania,1820,0.1,,,,,,,,,,,,,,,
Albania,1825,0.2,,,,,,,,,,,,,,,
Albania,1830,0.2,,,,,,,,,,,,,,,
Albania,1835,0.3,,,,,,,,,,,,,,,
Albania,1840,0.4,,,,,,,,,,,,,,,
Albania,1845,0.5,,,,,,,,,,,,,,,
Albania,1850,0.7,,,,,,,,,,,,,,,
Albania,1855,0.8,,,,,,,,,,,,,,,
Albania,1860,1.1,,,,,,,,,,,,,,,
Albania,1865,1.4,,,,,,,,,,,,,,,
Albania,1870,1.8,,,,,,0,0.02,,,,,,,,
Albania,1875,2.3,,,,,,0,0.03,,,,,,,,
Albania,1880,2.9,,,,,,0,0.03,,,,,,,,
Albania,1885,3.8,,,,,,0,0.04,,,,,,,,
Albania,1890,4.8,,,,,,0,0.05,,,,,,,,
Albania,1895,6.1,,,,,,0,0.06,,,,,,,,
Albania,1900,7.7,,,,,,0,0.08,,,,,,,,
Albania,1905,9.7,,,,,,0,0.1,,,,,,,,
Albania,1910,12.2,,,,,,0,0.15,,,,,,,,
Albania,1915,15.2,,,,,,0,0.24,,,,,,,,
Albania,1920,18.8,,,,,,0,0.36,,,,,,,,
Albania,1925,20.7,,,,,,0,0.51,,,,,,,,
Albania,1930,21.8,,,,,,0,0.67,,,,,,,,
Albania,1935,37.2,,,,,,0.1,0.84,,,,,,,,
Albania,1940,32.5,,,,,,0.1,1.08,,,,,,,,
Albania,1945,81.7,,,,,,0.2,1.8,,,,,,,,
Albania,1950,100,,,,,,0.7,2.75,,,,,,,,
Albania,1955,100,,,,,,1.1,2.93,,,,,,,,
Albania,1960,76.7,,,,,,1.8,3.23,,,,,,,,
Albania,1965,83.7,,,,,,2.8,3.63,,,,,,,,
Albania,1970,95,,,,,,3.4,4.63,,,,,,,,
Albania,1975,100,,,,,,4.1,5.77,,,,,,,,
Albania,1980,100,,,,,,4.5,6.95,,,,,,,,
Albania,1985,93.6,,,,,,5.1,7.93,,,,,,,,
Albania,1990,91.4,,,,,,5.7,8.61,,,,,,,,
Albania,1995,91.4,,,,,,5.8,8.54,,,,,,,,
Albania,2000,98,,,,,,6.5,9.93,,,,,,,,
Albania,2005,97.8,,,,,,4.2,10.24,,,,,,,,
Albania,2010,98.5,,,,,,1.9,10.44,,,,,,,,
Algeria,1820,0.6,,,,,,,,,,,,,,,
Algeria,1825,0.8,,,,,,,,,,,,,,,
Algeria,1830,1,,,,,,,,,,,,,,,
Algeria,1835,1.2,,,,,,,,,,,,,,,
Algeria,1840,1.5,,,,,,,,,,,,,,,
Algeria,1845,1.9,,,,,,,,,,,,,,,
Algeria,1850,2.3,,,,,,,,,,,,,,,
Algeria,1855,2.9,,,,,,,,,,,,,,,
Algeria,1860,3.6,,,,,,,,,,,,,,,
Algeria,1865,5.7,,,,,,,,,,,,,,,
Algeria,1870,6.1,,,,,,0,0.1,,,,,,,,
Algeria,1875,7.6,,,,,,0,0.13,,,,,,,,
Algeria,1880,8,,,,,,0,0.16,,,,,,,,
Algeria,1885,9.5,,,,,,0.1,0.2,,,,,,,,
Algeria,1890,10.8,,,,,,0.1,0.23,,,,,,,,
Algeria,1895,11.9,,,,,,0.1,0.27,,,,,,,,
Algeria,1900,12.7,,,,,,0.1,0.39,,,,,,,,
Algeria,1905,13,,,,,,0.1,0.51,,,,,,,,
Algeria,1910,14.3,,,,,,0.2,0.6,,,,,,,,
Algeria,1915,15.6,,,,,,0.2,0.58,,,,,,,,
Algeria,1920,13.5,,,,,,0.2,0.65,,,,,,,,
Algeria,1925,14.3,,,,,,0.2,0.71,,,,,,,,
Algeria,1930,17.5,,,,,,0.2,0.74,,,,,,,,
Algeria,1935,19.1,,,,,,0.2,0.78,,,,,,,,
Algeria,1940,20.8,,,,,,0.3,0.8,,,,,,,,
Algeria,1945,19.6,,,,,,0.3,0.82,,,,,,,,
Algeria,1950,21.4,,,,,,0.3,0.83,,,,,,,,
Algeria,1955,25.6,,,,,,0.3,0.82,,,,,,,,
Algeria,1960,38.1,,,,,,0.3,0.9,,,,,,,,
Algeria,1965,56.3,,,,,,0.4,1.15,,,,,,,,
Algeria,1970,62.9,,,,,,0.4,1.69,,,,,,,,
Algeria,1975,77,,,,,,0.8,2.26,,,,,,,,
Algeria,1980,81,,,,,,1.6,3,,,,,,,,
Algeria,1985,86,,,,,,2.7,4.28,,,,,,,,
Algeria,1990,88,,,,,,3.9,5.05,,,,,,,,
Algeria,1995,97.4,,,,,,5,5.76,,,,,,,,
Algeria,2000,88.4,,,,,,6.7,6.06,,,,,,,,
Algeria,2005,95,,,,,,9.4,6.43,,,,,,,,
Algeria,2010,100,,,,,,12.4,7,,,,,,,,
Argentina,1820,2.2,,,,,,,,,,,,,,,
Argentina,1825,2.8,,,,,,,,,,,,,,,
Argentina,1830,3.5,,,,,,,,,,,,,,,
Argentina,1835,4.5,,,,,,,,,,,,,,,
Argentina,1840,5.7,,,,,,,,,,,,,,,
Argentina,1845,7.1,,,,,,,,,,,,,,,
Argentina,1850,8.9,,,,,,,,,,,,,,,
Argentina,1855,11.2,,,,,,,,,,,,,,,
Argentina,1860,13.9,,,,,,,,,,,,,,,
Argentina,1865,17.1,,,,,,,,,,,,,,,
Argentina,1870,20.9,,,,,,0.1,0.39,,,,,,,,
Argentina,1875,18.6,,,,,,0.1,0.49,,,,,,,,
Argentina,1880,16.3,,,,,,0.1,0.59,,,,,,,,
Argentina,1885,25.3,,,,,,0.1,0.65,,,,,,,,
Argentina,1890,31.5,,,,,,0.2,0.7,,,,,,,,
Argentina,1895,24.3,,,,,,0.2,0.83,,,,,,,,
Argentina,1900,39.6,,,,,,0.3,0.97,,,,,,,,
Argentina,1905,46.7,,,,,,0.4,1.45,,,,,,,,
Argentina,1910,50.5,,,,,,0.5,1.81,,,,,,,,
Argentina,1915,58.7,,,,,,0.5,2.35,,,,,,,,
Argentina,1920,65.8,,,,,,0.5,2.94,,,,,,,,
Argentina,1925,65.8,,,,,,0.6,3.29,,,,,,,,
Argentina,1930,66.9,,,,,,0.7,3.72,,,,,,,,
Argentina,1935,73.9,,,,,,0.8,4.04,,,,,,,,
Argentina,1940,79.7,,,,,,0.9,4.33,,,,,,,,
Argentina,1945,79.3,,,,,,0.9,4.65,,,,,,,,
Argentina,1950,81.3,,,,,,1,4.91,,,,,,,,
Argentina,1955,86.8,,,,,,1.9,5.24,,,,,,,,
Argentina,1960,89,,,,,,3.2,5.69,,,,,,,,
Argentina,1965,92,,,,,,3.9,6.03,,,,,,,,
Argentina,1970,96,,,,,,4.7,6.48,,,,,,,,
Argentina,1975,96,,,,,,7.1,7.03,,,,,,,,
Argentina,1980,90.6,,,,,,8,7.51,,,,,,,,
Argentina,1985,97.8,,,,,,11.2,8.09,,,,,,,,
Argentina,1990,100,,,,,,14.5,8.67,,,,,,,,
Argentina,1995,100,,,,,,11.8,8.91,,,,,,,,
Argentina,2000,100,,,,,,9.3,9.08,,,,,,,,
Argentina,2005,100,,,,,,10.4,9.57,,,,,,,,
Argentina,2010,100,,,,,,11.5,9.71,,,,,,,,
Asia and the Pacific,1870,,,,,,,,,,,,,,,,30.04064
Asia and the Pacific,1875,,,,,,,,,,,,,,,,25.44332
Asia and the Pacific,1880,,,,,,,,,,,,,,,,22.84131
Asia and the Pacific,1885,,,,,,,,,,,,,,,,17.0367
Asia and the Pacific,1890,,,,,,,,,,,,,,,,14.30141
Asia and the Pacific,1895,,,,,,,,,,,,,,,,13.02516
Asia and the Pacific,1900,,,,,,,,,,,,,,,,14.30075
Asia and the Pacific,1905,,,,,,,,,,,,,,,,15.91014
Asia and the Pacific,1910,,,,,,,,,,,,,,,,16.95668
Asia and the Pacific,1915,,,,,,,,,,,,,,,,20.63757
Asia and the Pacific,1920,,,,,,,,,,,,,,,,29.8062
Asia and the Pacific,1925,,,,,,,,,,,,,,,,28.28355
Asia and the Pacific,1930,,,,,,,,,,,,,,,,27.02677
Asia and the Pacific,1935,,,,,,,,,,,,,,,,26.60637
Asia and the Pacific,1940,,,,,,,,,,,,,,,,46.7611
Asia and the Pacific,1945,,,,,,,,,,,,,,,,44.53684
Asia and the Pacific,1950,,,,,,,,,,,,,,,,46.75366
Asia and the Pacific,1955,,,,,,,,,,,,,,,,48.72198
Asia and the Pacific,1960,,,,,,,,,,,,,,,,52.85789
Asia and the Pacific,1965,,,,,,,,,,,,,,,,58.08843
Asia and the Pacific,1970,,,,,,,,,,,,,,,,63.89221
Asia and the Pacific,1975,,,,,,,,,,,,,,,,66.25009
Asia and the Pacific,1980,,,,,,,,,,,,,,,,69.34769
Asia and the Pacific,1985,,,,,,,,,,,,,,,,74.98585
Asia and the Pacific,1990,,,,,,,,,,,,,,,,80.13951
Asia and the Pacific,1995,,,,,,,,,,,,,,,,76.55644
Asia and the Pacific,2000,,,,,,,,,,,,,,,,75.94535
Asia and the Pacific,2005,,,,,,,,,,,,,,,,80.10808
Asia and the Pacific,2010,,,,,,,,,,,,,,,,84.07307
Australia,1820,35.2,,,,,,,,,,,,,,,
Australia,1825,37.7,,,,,,,,,,,,,,,
Australia,1830,40.3,,,,,,,,,,,,,,,
Australia,1835,43,,,,,,,,,,,,,,,
Australia,1840,45.8,,,,,,,,,,,,,,,
Australia,1845,48.5,,,,,,,,,,,,,,,
Australia,1850,51.3,,,,,,,,,,,,,,,
Australia,1855,54.1,,,,,,,,,,,,,,,
Australia,1860,56.8,,,,,,,,,,,,,,,
Australia,1865,66.6,,,,,,,,,,,,,,,
Australia,1870,76.5,,,,,,0,1.74,,,,,,,,
Australia,1875,88.2,,,,,,0,1.91,,,,,,,,
Australia,1880,100,,,,,,0.1,2.06,,,,,,,,
Australia,1885,98.4,,,,,,0.1,2.39,,,,,,,,
Australia,1890,96.8,,,,,,0.1,2.74,,,,,,,,
Australia,1895,98.4,,,,,,0.2,2.97,,,,,,,,
Australia,1900,100,,,,,,0.3,3.09,,,,,,,,
Australia,1905,100,,,,,,0.4,3.36,,,,,,,,
Australia,1910,100,,,,,,1.6,3.87,,,,,,,,
Australia,1915,100,,,,,,2.6,4.29,,,,,,,,
Australia,1920,100,,,,,,3.6,4.71,,,,,,,,
Australia,1925,100,,,,,,4.8,5.46,,,,,,,,
Australia,1930,100,,,,,,5.9,6.01,,,,,,,,
Australia,1935,99.5,,,,,,7,6.56,,,,,,,,
Australia,1940,99,,,,,,8.1,7.02,,,,,,,,
Australia,1945,98.6,,,,,,9.2,7.48,,,,,,,,
Australia,1950,98.1,,,,,,11.2,8.21,,,,,,,,
Australia,1955,100,,,,,,12.2,8.49,,,,,,,,
Australia,1960,81.5,,,,,,13.2,8.78,,,,,,,,
Australia,1965,78.3,,,,,,14.9,9.19,,,,,,,,
Australia,1970,91,,,,,,20.3,10.11,,,,,,,,
Australia,1975,96,,,,,,21.9,10.8,,,,,,,,
Australia,1980,100,,,,,,24.8,11.4,,,,,,,,
Australia,1985,97,,,,,,25.5,11.43,,,,,,,,
Australia,1990,98,,,,,,26.8,11.44,,,,,,,,
Australia,1995,99.8,,,,,,30.2,11.51,,,,,,,,
Australia,2000,95,,,,,,23.4,11.37,,,,,,,,
Australia,2005,95,,,,,,28.3,11.71,,,,,,,,
Australia,2010,96,,,,,,30.3,11.69,,,,,,,,
Austria,1820,27.4,,,,,,,,,,,,,,,
Austria,1825,29.1,,,,,,,,,,,,,,,
Austria,1830,30.9,,,,,,,,,,,,,,,
Austria,1835,32.7,,,,,,,,,,,,,,,
Austria,1840,34.6,,,,,,,,,,,,,,,
Austria,1845,36.5,,,,,,,,,,,,,,,
Austria,1850,38.5,,,,,,,,,,,,,,,
Austria,1855,40.5,,,,,,,,,,,,,,,
Austria,1860,42.6,,,,,,,,,,,,,,,
Austria,1865,44.7,,,,,,,,,,,,,,,
Austria,1870,46.8,,,,,,0.6,2.16,,,,,,,,
Austria,1875,54.2,,,,,,0.7,2.31,,,,,,,,
Austria,1880,61.7,,,,,,0.8,2.5,,,,,,,,
Austria,1885,67.8,,,,,,0.9,2.74,,,,,,,,
Austria,1890,74,,,,,,1.1,3.04,,,,,,,,
Austria,1895,76.1,,,,,,1.2,3.36,,,,,,,,
Austria,1900,78.3,,,,,,1.3,3.7,,,,,,,,
Austria,1905,80.3,,,,,,1.5,4.03,,,,,,,,
Austria,1910,82.3,,,,,,1.8,4.38,,,,,,,,
Austria,1915,90.1,,,,,,1.7,4.71,,,,,,,,
Austria,1920,97.9,,,,,,1.5,5.03,,,,,,,,
Austria,1925,99,,,,,,2.4,5.47,,,,,,,,
Austria,1930,100,,,,,,2.4,5.86,,,,,,,,
Austria,1935,100,,,,,,3,6.25,,,,,,,,
Austria,1940,100,,,,,,2.4,6.16,,,,,,,,
Austria,1945,100,,,,,,2.3,5.96,,,,,,,,
Austria,1950,100,,,,,,2,5.89,,,,,,,,
Austria,1955,100,,,,,,2,5.64,,,,,,,,
Austria,1960,91,,,,,,2.2,5.67,,,,,,,,
Austria,1965,92,,,,,,2.4,6.54,,,,,,,,
Austria,1970,92,,,,,,2.7,7.26,,,,,,,,
Austria,1975,89,,,,,,2.9,7.44,,,,,,,,
Austria,1980,87,,,,,,2.8,7.6,,,,,,,,
Austria,1985,86,,,,,,4.6,7.84,,,,,,,,
Austria,1990,91,,,,,,5.5,8.26,,,,,,,,
Austria,1995,97,,,,,,9.9,8.93,,,,,,,,
Austria,2000,100,,,,,,13.3,9.43,,,,,,,,
Austria,2005,98.8,,,,,,15.1,9.89,,,,,,,,
Austria,2010,97.5,,,,,,16.4,10.13,,,,,,,,
Bangladesh,1820,0,,,,,,,,,,,,,,,
Bangladesh,1825,0,,,,,,,,,,,,,,,
Bangladesh,1830,0.1,,,,,,,,,,,,,,,
Bangladesh,1835,0.1,,,,,,,,,,,,,,,
Bangladesh,1840,0.1,,,,,,,,,,,,,,,
Bangladesh,1845,0.1,,,,,,,,,,,,,,,
Bangladesh,1850,0.2,,,,,,,,,,,,,,,
Bangladesh,1855,0.3,,,,,,,,,,,,,,,
Bangladesh,1860,0.3,,,,,,,,,,,,,,,
Bangladesh,1865,0.5,,,,,,,,,,,,,,,
Bangladesh,1870,0.6,,,,,,0,0.01,,,,,,,,
Bangladesh,1875,0.8,,,,,,0,0.02,,,,,,,,
Bangladesh,1880,1.1,,,,,,0,0.02,,,,,,,,
Bangladesh,1885,1.4,,,,,,0,0.03,,,,,,,,
Bangladesh,1890,1.9,,,,,,0,0.03,,,,,,,,
Bangladesh,1895,2.5,,,,,,0,0.04,,,,,,,,
Bangladesh,1900,3.2,,,,,,0,0.06,,,,,,,,
Bangladesh,1905,4.2,,,,,,0.1,0.2,,,,,,,,
Bangladesh,1910,5.6,,,,,,0.1,0.33,,,,,,,,
Bangladesh,1915,7.2,,,,,,0.1,0.44,,,,,,,,
Bangladesh,1920,9.4,,,,,,0.1,0.42,,,,,,,,
Bangladesh,1925,12.1,,,,,,0.2,0.5,,,,,,,,
Bangladesh,1930,15.4,,,,,,0.2,0.58,,,,,,,,
Bangladesh,1935,19.5,,,,,,0.2,0.65,,,,,,,,
Bangladesh,1940,24.3,,,,,,0.2,0.75,,,,,,,,
Bangladesh,1945,29.9,,,,,,0.2,0.85,,,,,,,,
Bangladesh,1950,33.5,,,,,,0.3,0.93,,,,,,,,
Bangladesh,1955,37.2,,,,,,0.3,0.95,,,,,,,,
Bangladesh,1960,40.9,,,,,,0.3,1.03,,,,,,,,
Bangladesh,1965,42.6,,,,,,0.5,1.27,,,,,,,,
Bangladesh,1970,47,,,,,,0.8,1.41,,,,,,,,
Bangladesh,1975,61,,,,,,0.9,1.63,,,,,,,,
Bangladesh,1980,53.8,,,,,,1.1,2.31,,,,,,,,
Bangladesh,1985,54,,,,,,2.1,2.87,,,,,,,,
Bangladesh,1990,69,,,,,,2.8,3.15,,,,,,,,
Bangladesh,1995,69,,,,,,3.7,3.72,,,,,,,,
Bangladesh,2000,95.9,,,,,,3.7,4.77,,,,,,,,
Bangladesh,2005,88.9,,,,,,3.9,5.51,,,,,,,,
Bangladesh,2010,91,,,,,,4.2,6.22,,,,,,,,
Barbados,1820,9.5,,,,,,,,,,,,,,,
Barbados,1825,11.2,,,,,,,,,,,,,,,
Barbados,1830,13.3,,,,,,,,,,,,,,,
Barbados,1835,15.6,,,,,,,,,,,,,,,
Barbados,1840,18.2,,,,,,,,,,,,,,,
Barbados,1845,21.2,,,,,,,,,,,,,,,
Barbados,1850,24.6,,,,,,,,,,,,,,,
Barbados,1855,28.3,,,,,,,,,,,,,,,
Barbados,1860,37.6,,,,,,,,,,,,,,,
Barbados,1865,36.9,,,,,,,,,,,,,,,
Barbados,1870,42.8,,,,,,0,0.93,,,,,,,,
Barbados,1875,35.6,,,,,,0,1.06,,,,,,,,
Barbados,1880,38.1,,,,,,0,1.21,,,,,,,,
Barbados,1885,34.4,,,,,,0,1.28,,,,,,,,
Barbados,1890,43,,,,,,0,1.37,,,,,,,,
Barbados,1895,42.4,,,,,,0,1.41,,,,,,,,
Barbados,1900,71.6,,,,,,0,1.52,,,,,,,,
Barbados,1905,73.9,,,,,,0.1,1.97,,,,,,,,
Barbados,1910,82.1,,,,,,0,1.95,,,,,,,,
Barbados,1915,66.9,,,,,,0.1,2.28,,,,,,,,
Barbados,1920,54.8,,,,,,0.2,2.7,,,,,,,,
Barbados,1925,63,,,,,,0.2,2.96,,,,,,,,
Barbados,1930,65.4,,,,,,0.3,3.19,,,,,,,,
Barbados,1935,70.6,,,,,,0.4,3.53,,,,,,,,
Barbados,1940,81,,,,,,0.5,3.91,,,,,,,,
Barbados,1945,86.6,,,,,,0.6,4.33,,,,,,,,
Barbados,1950,68.8,,,,,,0.8,4.68,,,,,,,,
Barbados,1955,69,,,,,,0.9,4.85,,,,,,,,
Barbados,1960,96.4,,,,,,1,5.08,,,,,,,,
Barbados,1965,98.1,,,,,,1.2,6.79,,,,,,,,
Barbados,1970,91,,,,,,1.1,8.59,,,,,,,,
Barbados,1975,100,,,,,,2.9,7.95,,,,,,,,
Barbados,1980,96,,,,,,4.6,7.72,,,,,,,,
Barbados,1985,94.8,,,,,,4.9,8.42,,,,,,,,
Barbados,1990,96,,,,,,4,8.79,,,,,,,,
Barbados,1995,96,,,,,,2.8,9.07,,,,,,,,
Barbados,2000,94,,,,,,1.1,9.23,,,,,,,,
Barbados,2005,91,,,,,,2.7,9.41,,,,,,,,
Barbados,2010,96,,,,,,5.1,9.57,,,,,,,,
Belgium,1820,36.4,,,,,,,,,,,,,,,
Belgium,1825,38.8,,,,,,,,,,,,,,,
Belgium,1830,41.3,,,,,,,,,,,,,,,
Belgium,1835,57.4,,,,,,,,,,,,,,,
Belgium,1840,63.8,,,,,,,,,,,,,,,
Belgium,1845,59,,,,,,,,,,,,,,,
Belgium,1850,68.4,,,,,,,,,,,,,,,
Belgium,1855,73.1,,,,,,,,,,,,,,,
Belgium,1860,69.8,,,,,,,,,,,,,,,
Belgium,1865,73.7,,,,,,,,,,,,,,,
Belgium,1870,72,,,,,,0.3,2.42,,,,,,,,
Belgium,1875,76.3,,,,,,0.4,2.38,,,,,,,,
Belgium,1880,36.3,,,,,,0.5,2.55,,,,,,,,
Belgium,1885,59.4,,,,,,0.6,2.65,,,,,,,,
Belgium,1890,60.2,,,,,,0.6,2.63,,,,,,,,
Belgium,1895,68.4,,,,,,0.7,2.65,,,,,,,,
Belgium,1900,74.2,,,,,,0.7,2.66,,,,,,,,
Belgium,1905,75.9,,,,,,0.7,2.77,,,,,,,,
Belgium,1910,77.7,,,,,,0.8,3.09,,,,,,,,
Belgium,1915,76.2,,,,,,0.9,3.26,,,,,,,,
Belgium,1920,93.3,,,,,,1.1,3.48,,,,,,,,
Belgium,1925,78.1,,,,,,1.2,3.75,,,,,,,,
Belgium,1930,87.9,,,,,,1.6,4.27,,,,,,,,
Belgium,1935,94.2,,,,,,1.9,4.65,,,,,,,,
Belgium,1940,88.7,,,,,,2.3,5.17,,,,,,,,
Belgium,1945,100,,,,,,3.3,5.93,,,,,,,,
Belgium,1950,92,,,,,,3.5,6.85,,,,,,,,
Belgium,1955,81.3,,,,,,4,7.17,,,,,,,,
Belgium,1960,100,,,,,,5,7.4,,,,,,,,
Belgium,1965,100,,,,,,6,7.56,,,,,,,,
Belgium,1970,96,,,,,,7.6,7.98,,,,,,,,
Belgium,1975,96.5,,,,,,10.7,8.39,,,,,,,,
Belgium,1980,97,,,,,,13.8,8.93,,,,,,,,
Belgium,1985,94,,,,,,17.1,9.41,,,,,,,,
Belgium,1990,96,,,,,,20.8,10,,,,,,,,
Belgium,1995,86.5,,,,,,24.4,10.64,,,,,,,,
Belgium,2000,97.2,,,,,,26,10.95,,,,,,,,
Belgium,2005,97.8,,,,,,28,11.11,,,,,,,,
Belgium,2010,100,,,,,,30.6,11.29,,,,,,,,
Belize,1820,2,,,,,,,,,,,,,,,
Belize,1825,2.6,,,,,,,,,,,,,,,
Belize,1830,3.4,,,,,,,,,,,,,,,
Belize,1835,4.3,,,,,,,,,,,,,,,
Belize,1840,5.5,,,,,,,,,,,,,,,
Belize,1845,7.1,,,,,,,,,,,,,,,
Belize,1850,9,,,,,,,,,,,,,,,
Belize,1855,11.3,,,,,,,,,,,,,,,
Belize,1860,14.2,,,,,,,,,,,,,,,
Belize,1865,17.7,,,,,,,,,,,,,,,
Belize,1870,21.9,,,,,,0,0.4,,,,,,,,
Belize,1875,26.6,,,,,,0,0.49,,,,,,,,
Belize,1880,32.1,,,,,,0,0.61,,,,,,,,
Belize,1885,38,,,,,,0,0.76,,,,,,,,
Belize,1890,44.3,,,,,,0,0.94,,,,,,,,
Belize,1895,47.1,,,,,,0,1.14,,,,,,,,
Belize,1900,49.9,,,,,,0,1.36,,,,,,,,
Belize,1905,60.8,,,,,,0.8,1.98,,,,,,,,
Belize,1910,71.7,,,,,,1.5,2.56,,,,,,,,
Belize,1915,69.7,,,,,,2.1,3.06,,,,,,,,
Belize,1920,67.6,,,,,,5.5,3.74,,,,,,,,
Belize,1925,75.9,,,,,,6.1,4.11,,,,,,,,
Belize,1930,84.2,,,,,,7.2,4.53,,,,,,,,
