Entity,Year,"Expenditure per student as % of GDP (primary), 1974-2014 (World Bank (2015))","Teacher-pupil ratio (primary), 1970-2014 (World Bank (2015))","Government expenditure per student, primary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, secondary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, tertiary (% of GDP per capita) (World Bank (2015))",Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Malta,2011,20.36213,,20.36213,66.43361,40.11354,7.96375,18.8981,14.78764
Malta,2012,27.34301,,27.34301,41.56079,51.51801,6.75966,15.25658,22.72691
Marshall Islands,1999,,,,,,14.53904,28.54381,
Marshall Islands,2002,23.48189,,23.48189,27.69191,73.63202,8.66987,14.8142,45.47052
Marshall Islands,2003,,,,,,12.24,22.50875,
Mauritania,1997,,,,,,2.34373,,
Mauritania,1999,11.83835,,11.83835,38.32963,103.69099,2.43289,,54.48709
Mauritania,2001,,,,,,2.8395,,
Mauritania,2002,,,,,,3.05538,,
Mauritania,2003,,,,,,3.10349,,
Mauritania,2004,,,,,,2.51687,8.17586,
Mauritania,2005,10.2375,,10.2375,25.6913,,,,
Mauritania,2006,,,,,,2.52458,10.31029,
Mauritania,2008,12.30508,,12.30508,35.98844,190.41463,3.55225,13.88017,42.63684
Mauritania,2010,14.31637,,14.31637,33.68848,206.85103,3.60428,16.03502,47.54608
Mauritania,2011,11.87128,,11.87128,23.94917,112.11273,3.07791,13.68266,45.07309
Mauritania,2012,11.88887,,11.88887,26.32682,95.32024,2.99699,10.01775,47.26514
Mauritania,2013,11.77437,,11.77437,21.12409,93.29833,3.27544,11.40537,43.20938
Mauritius,1999,,,,,,3.93976,16.76763,
Mauritius,2000,,,,,,3.81526,14.31736,
Mauritius,2001,9.30786,,9.30786,14.18997,25.42477,3.16975,11.97105,33.17422
Mauritius,2002,8.58437,,8.58437,12.76195,34.34989,3.11292,11.51012,30.528
Mauritius,2003,13.08785,,13.08785,18.18027,47.10911,4.48438,15.91087,31.40319
Mauritius,2004,12.86991,,12.86991,17.81332,43.04587,4.472,16.21239,29.93843
Mauritius,2005,11.27861,,11.27861,17.51064,28.37778,4.20155,15.82166,27.16528
Mauritius,2006,10.13933,,10.13933,16.7646,21.79984,3.81811,14.13833,26.24491
Mauritius,2007,,,,,,3.32607,12.74995,
Mauritius,2008,9.47486,,9.47486,14.94547,15.85047,3.20384,11.95525,28.39471
Mauritius,2009,8.81403,,8.81403,14.63312,16.11763,3.15771,11.64793,26.45663
Mauritius,2010,10.49518,,10.49518,18.94892,12.80614,3.65578,14.57315,26.96169
Mauritius,2011,9.97514,,9.97514,16.40381,9.47345,3.41084,13.84617,27.10349
Mauritius,2012,10.17625,,10.17625,18.51183,8.55647,3.48589,14.96062,26.41398
Mauritius,2013,11.65268,,11.65268,,8.91962,3.6769,14.78901,27.47102
Mauritius,2014,,,,,,4.98984,20.9054,22.6824
Mexico,1998,8.58724,,8.58724,15.54329,41.5276,3.52947,15.78817,35.39793
Mexico,1999,10.28669,,10.28669,12.50635,42.08199,3.6621,16.34315,40.35094
Mexico,2000,11.73518,,11.73518,,,4.13411,19.77632,40.35094
Mexico,2001,12.4787,,12.4787,17.15293,33.03162,4.42832,20.84655,39.57124
Mexico,2002,13.06169,,13.06169,14.66796,45.22631,4.63847,20.97145,39.16489
Mexico,2003,14.81889,,14.81889,16.05474,42.24109,5.18674,22.44291,39.28331
Mexico,2004,14.20954,,14.20954,14.91022,39.319,4.80018,22.20036,40.00292
Mexico,2005,14.44772,,14.44772,15.56673,39.77677,4.90795,22.18896,39.0791
Mexico,2006,14.13925,,14.13925,14.55091,37.36668,4.74132,20.74933,38.82099
Mexico,2007,14.04366,,14.04366,14.24456,39.24988,4.73198,20.24585,38.24865
Mexico,2008,14.13852,,14.13852,14.01297,40.15557,4.85821,18.80036,37.20858
Mexico,2009,14.80303,,14.80303,16.01214,44.91445,5.21749,18.47241,36.21646
Mexico,2010,14.77504,,14.77504,15.85172,42.26784,5.19197,19.42911,35.98383
Mexico,2011,14.60201,,14.60201,15.91232,37.34413,5.1462,19.00752,35.50244
Micronesia (country),1999,,,,,0,6.40977,8.78498,
Micronesia (country),2000,,,,,,6.70818,9.96512,
Moldova,1996,,,,,,9.8966,,
Moldova,1999,,,,,,4.66255,13.87681,
Moldova,2000,,,,,,4.48642,12.99873,
Moldova,2001,,,,,,4.84691,16.47752,
Moldova,2002,,,,,,5.49791,18.08781,
Moldova,2003,,,,,,5.4249,16.28233,
Moldova,2004,,,,,,6.77109,19.55373,
Moldova,2005,,,,,,7.16273,19.35065,
Moldova,2006,,,,,36.31218,7.49893,18.67197,
Moldova,2007,31.61991,,31.61991,38.35193,38.98779,8.29343,19.48785,17.11075
Moldova,2008,33.63929,,33.63929,31.61281,38.18395,8.23733,19.82275,17.35672
Moldova,2009,41.71911,,41.71911,39.37079,45.30878,9.50976,21.01412,17.88562
Moldova,2010,41.41951,,41.41951,39.35366,44.82439,9.11211,22.3361,18.01822
Moldova,2011,41.52571,,41.52571,38.2897,42.93541,8.5597,21.9582,18.8651
Moldova,2012,39.31168,,39.31168,37.77349,41.82791,8.34896,20.82347,18.26737
Moldova,2014,,,,,,7.50124,18.83653,22.69672
Monaco,1996,,,,,,1.08224,,
Monaco,1997,,,,,,1.21242,6.40111,
Monaco,1998,3.28124,,3.28124,6.98138,,1.20883,6.48977,16.84608
Monaco,1999,3.23924,,3.23924,6.9177,,1.19528,5.0717,17.23434
Monaco,2000,3.15949,,3.15949,6.69369,,1.25536,6.3279,15.75302
Monaco,2004,3.4866,,3.4866,6.17598,,1.24386,5.92595,15.39129
Monaco,2009,3.95371,,3.95371,6.2365,,1.32877,6.59881,15.05183
Monaco,2010,4.07631,,4.07631,6.12245,,1.32022,6.36322,15.25156
Monaco,2011,4.0047,,4.0047,9.96824,,1.59142,8.07617,11.88624
Monaco,2012,,,,,,1.77513,8.87595,10.25539
Monaco,2013,,,,,,1.33332,7.05922,13.11917
Monaco,2014,,,,,,,5.00886,15.99401
Mongolia,1997,,,,,,3.94897,12.80767,
Mongolia,1998,,,,,,5.49302,15.17901,
Mongolia,1999,,,,,,5.14566,15.25156,
Mongolia,2000,,,,,,5.55037,16.07477,
Mongolia,2002,,,,,30.1692,7.21078,20.31151,
Mongolia,2004,11.48283,,11.48283,10.63811,18.30441,4.32573,13.57351,25.06783
Mongolia,2007,13.58936,,13.58936,,,4.69013,13.28645,26.71402
Mongolia,2009,14.90143,,14.90143,,,5.14485,14.51142,27.37934
Mongolia,2010,14.34377,,14.34377,17.82008,5.8901,4.6451,14.71111,26.89597
Mongolia,2011,18.58683,,18.58683,,3.3728,4.60903,12.15085,32.73583
Morocco,1998,18.81083,,18.81083,45.23904,96.3278,5.34362,25.21153,40.49369
Morocco,1999,17.36086,,17.36086,45.4,96.85467,5.38568,25.76847,38.93294
Morocco,2000,18.05656,,18.05656,44.69595,111.72778,,,
Morocco,2001,16.79158,,16.79158,43.07104,94.76501,,,
Morocco,2002,16.98315,,16.98315,44.34436,88.74064,,,
Morocco,2003,16.4873,,16.4873,42.24142,79.41259,,,
Morocco,2004,16.56615,,16.56615,39.60705,74.76021,,,
Morocco,2005,20.16053,,20.16053,57.21586,81.90879,,,
Morocco,2006,17.19626,,17.19626,35.3731,74.45696,,,
Morocco,2007,14.36475,,14.36475,38.66139,,,,
Morocco,2008,16.01372,,16.01372,33.5879,70.72983,5.5602,17.47064,35.53307
Morocco,2009,16.73349,,16.73349,30.72887,82.31426,5.3758,17.29529,37.72544
Morocco,2010,17.99167,,17.99167,34.4679,,,,
Morocco,2011,18.04977,,18.04977,33.85842,,,,
Morocco,2012,18.99749,,18.99749,36.51839,,,,
Morocco,2013,19.68237,,19.68237,,,,,
Mozambique,1998,,,,,,2.31234,12.05375,
Mozambique,1999,,,,,,3.65996,16.92332,
Mozambique,2004,,,,,,4.45532,18.00154,
Mozambique,2005,,,,,,5.20143,22.71818,
Mozambique,2006,14.95996,,14.95996,85.97755,,5.00683,18.55004,57.6559
Mozambique,2012,15.14762,,15.14762,63.20746,153.84247,6.21012,19.76724,51.92901
Mozambique,2013,15.29038,,15.29038,69.26281,183.42796,6.71555,19.03288,49.24664
Namibia,1999,19.76133,,19.76133,32.40457,140.26929,7.21755,23.04277,58.46612
Namibia,2000,19.91573,,19.91573,30.43837,,6.99139,21.92506,58.7878
Namibia,2001,19.80586,,19.80586,28.7602,,6.91282,22.77571,58.7878
Namibia,2002,19.73048,,19.73048,23.58169,84.80925,6.76239,21.83686,60.046
Namibia,2003,18.67751,,18.67751,22.37961,98.8786,6.11511,20.32821,63.13306
Namibia,2005,13.59854,,13.59854,,,,,
Namibia,2006,18.43151,,18.43151,18.9485,118.21643,6.03782,21.60299,60.87177
Namibia,2008,15.68202,,15.68202,15.9328,,6.48408,25.07235,47.60078
Namibia,2010,17.59934,,17.59934,,,8.3505,26.19325,40.01321
Nepal,1998,,,,,,2.89288,,51.20334
Nepal,1999,8.6364,,8.6364,12.49362,,2.89331,,48.29229
Nepal,2000,9.82682,,9.82682,10.99443,134.59982,2.97515,19.11359,55.02941
Nepal,2001,13.1371,,13.1371,13.07048,99.39199,3.70838,21.61894,55.3618
Nepal,2002,11.45984,,11.45984,10.18269,75.23267,3.15283,20.42635,59.21355
Nepal,2003,10.78983,,10.78983,9.09104,61.83046,3.11435,21.30218,56.471
Nepal,2004,,,,,,3.17194,21.60618,
Nepal,2005,,,,,,3.36464,22.27689,
Nepal,2006,,,,,,3.60536,25.48504,
Nepal,2007,,,,,,3.51721,21.12867,
Nepal,2008,13.93978,,13.93978,10.35059,46.63086,3.80517,22.11482,62.3792
Nepal,2009,16.12062,,16.12062,12.16796,50.71121,4.66376,19.84753,62.97432
Nepal,2010,,,,,35.39292,4.71699,20.81352,
Nepal,2013,,,,,,4.08747,21.39802,
Nepal,2014,,,,,,4.72197,22.09018,50.5744
Netherlands,1996,,,,,,4.57432,,
Netherlands,1998,14.35908,,14.35908,20.27309,45.36988,4.61254,10.58261,24.85826
Netherlands,1999,14.17874,,14.17874,20.81013,44.37478,4.57832,10.48322,24.83668
Netherlands,2000,14.38617,,14.38617,21.22083,42.26205,4.6189,11.07332,25.00584
Netherlands,2001,15.43429,,15.43429,21.6368,40.62237,4.75615,11.01248,25.92757
Netherlands,2002,16.56954,,16.56954,22.14064,39.3921,4.87973,11.09102,27.0628
Netherlands,2003,17.59467,,17.59467,22.48805,41.21424,5.10994,11.40185,27.38878
Netherlands,2004,17.19997,,17.19997,23.54929,41.03263,5.15019,11.71956,26.31684
Netherlands,2005,17.22981,,17.22981,23.73928,40.26268,5.20605,12.1909,25.91688
Netherlands,2006,16.55176,,16.55176,23.46722,39.88588,5.14168,11.82707,25.15815
Netherlands,2007,15.79205,,15.79205,22.85807,37.59512,4.97065,11.62183,24.83534
Netherlands,2008,16.08222,,16.08222,23.3456,38.82412,5.11925,11.68874,24.55709
Netherlands,2009,17.50793,,17.50793,25.23567,40.28911,5.49481,11.40658,24.86559
Netherlands,2010,17.34238,,17.34238,25.46044,39.77892,5.5558,11.52436,24.31032
Netherlands,2011,16.92238,,16.92238,24.12106,34.36289,5.52617,11.75423,23.69466
Netherlands,2012,17.19481,,17.19481,24.15669,33.51124,5.51428,11.61935,23.76971
New Caledonia,1983,1.63793,,1.63793,3.6529,0.953,,,
New Caledonia,1984,1.8988,,1.8988,3.67807,1.13552,,,
New Caledonia,1986,1.20854,,1.20854,4.22486,1.0042,,,
New Caledonia,1987,1.27458,,1.27458,4.27501,,,,
New Caledonia,1989,1.08846,,1.08846,1.44332,,,,
New Caledonia,1990,1.01973,,1.01973,1.95553,,,,
New Caledonia,1991,0.95037,,0.95037,1.88138,,,,
New Caledonia,1992,1.00979,,1.00979,2.2816,,,,
New Caledonia,1993,1.02944,,1.02944,,,,,
New Zealand,1996,,,,,,6.38369,,
New Zealand,1997,,,,,,6.15723,,
New Zealand,1999,19.79813,,19.79813,23.55595,39.20341,6.6362,17.72079,27.9069
New Zealand,2000,19.80737,,19.80737,22.17545,,,,
New Zealand,2001,19.98359,,19.98359,22.53239,35.5581,6.56051,18.2456,27.74658
New Zealand,2002,18.76282,,18.76282,20.31726,35.58328,6.40697,18.31226,26.46568
New Zealand,2003,18.38835,,18.38835,20.6438,32.62694,6.42942,18.29794,25.55097
New Zealand,2004,18.95205,,18.95205,21.94116,26.50291,6.50391,18.56677,25.28022
New Zealand,2005,18.89074,,18.89074,20.96786,24.97127,6.26888,17.75142,25.74121
New Zealand,2006,17.27639,,17.27639,20.04296,25.74618,5.93511,16.55642,24.42916
New Zealand,2007,17.22715,,17.22715,19.12695,27.88297,5.92504,16.36142,23.98573
New Zealand,2008,15.16909,,15.16909,17.74888,27.93583,5.52808,15.37095,22.3729
New Zealand,2009,17.80458,,17.80458,18.67571,30.89329,6.34519,16.75341,22.6461
New Zealand,2010,21.54428,,21.54428,23.20219,30.88843,7.0531,16.64842,24.42957
New Zealand,2011,21.4015,,21.4015,23.12665,32.22793,6.99861,16.67924,24.10865
New Zealand,2012,24.16148,,24.16148,25.04912,31.45921,7.25271,19.35049,26.04821
Nicaragua,1998,,,,,,2.22585,13.38182,
Nicaragua,1999,,,,,,2.92365,14.7168,
Nicaragua,2000,,,,,,3.0016,14.5737,
Nicaragua,2002,,,,,,2.39101,15.68779,
Nicaragua,2003,,,,,,2.42201,14.887,
Nicaragua,2004,6.85009,,6.85009,,,,,
Nicaragua,2005,7.67848,,7.67848,2.98478,,,,
Nicaragua,2006,7.67594,,7.67594,3.50987,,,,
Nicaragua,2010,11.02608,,11.02608,7.27742,,4.49311,22.75367,39.81187
Niger,1996,,,,,,2.59498,,
Niger,1999,,,,,,3.22863,17.11781,
Niger,2000,,,,,,3.18947,18.78317,
Niger,2001,,,,,,2.86725,16.59557,
Niger,2002,,,,,,3.06366,16.65247,
Niger,2003,24.92931,,24.92931,,,2.40162,13.8455,72.6454
Niger,2006,28.14328,,28.14328,45.30081,364.83701,3.33406,16.88377,69.48496
Niger,2007,32.39912,,32.39912,51.04791,549.7392,4.02097,17.37597,70.09502
Niger,2008,26.94625,,26.94625,49.01007,396.2049,3.66293,16.17733,69.34212
Niger,2009,28.26041,,28.26041,56.49437,428.65897,4.52603,18.91294,63.41115
Niger,2010,20.95789,,20.95789,41.17391,436.25812,3.73339,18.10404,60.97789
Niger,2011,20.49726,,20.49726,49.25649,544.64417,4.20718,21.67581,56.36256
Niger,2012,19.7482,,19.7482,47.80518,631.00421,4.32767,19.19202,51.94162
Niger,2013,,,,,,4.90878,18.08446,53.25917
Niger,2014,,,,,,6.77798,21.66142,52.18609
Norway,1996,,,,,,7.13815,,
Norway,1997,,,,,,7.30354,15.90564,
Norway,1998,21.81753,,21.81753,30.34906,47.40061,7.36069,15.24957,26.33783
Norway,1999,,,,,45.85136,6.96642,14.85471,
Norway,2000,,,,,39.31681,6.46468,15.48646,
Norway,2001,,,,,43.63986,6.82941,15.73486,
Norway,2002,20.39215,,20.39215,30.53633,47.98722,7.44132,16.25644,25.469
Norway,2003,21.20869,,21.20869,32.25801,49.29779,7.4198,15.75515,26.63089
Norway,2004,19.90952,,19.90952,29.89741,51.16359,7.30252,16.53605,25.24975
Norway,2005,18.77901,,18.77901,28.53574,48.77369,6.86868,16.7517,25.02401
Norway,2006,18.0403,,18.0403,25.77007,44.41779,6.38566,16.23354,25.63983
Norway,2007,18.19976,,18.19976,26.12764,46.53923,6.53527,16.55713,25.00246
Norway,2008,17.91185,,17.91185,25.08366,45.90576,6.28934,16.1489,25.21059
Norway,2009,21.34713,,21.34713,28.88527,48.5237,7.09982,15.76085,26.05567
Norway,2010,21.12718,,21.12718,27.28205,44.29483,6.74996,15.30602,26.66643
Norway,2011,19.90008,,19.90008,26.17169,42.22927,6.45616,15.01093,25.95561
Norway,2012,,,,,,7.37183,17.45271,22.03195
Oman,1996,,,,,,3.18452,,
Oman,1997,,,,,,3.3568,9.12556,
Oman,1998,11.1286,,11.1286,20.85119,53.58635,4.11234,9.9918,39.07727
Oman,1999,10.31867,,10.31867,20.06151,,4.00595,10.32786,37.41781
Oman,2000,,,,,,3.20024,8.98344,
Oman,2001,10.77662,,10.77662,18.60295,,4.02031,10.58399,37.93771
Oman,2002,14.75874,,14.75874,16.16059,,4.32507,11.06248,46.80582
Oman,2003,,,,,,3.89697,10.03896,
Oman,2004,,,,,22.21837,4.02838,10.31647,47.97666
Oman,2005,14.36397,,14.36397,12.30456,13.97611,3.51722,10.05364,50.5356
Oman,2006,,,,,,3.85934,11.22463,
Oman,2009,12.16837,,12.16837,13.92528,39.59948,4.18775,10.94918,32.95369
Oman,2011,14.2046,,14.2046,15.99389,,,,
Pakistan,1996,,,,,,2.81057,,
Pakistan,1997,,,,,,3.0223,,
Pakistan,1999,,,,,,2.61149,11.30733,
Pakistan,2000,,,,,,1.83782,8.48988,
Pakistan,2004,,,,,,1.94841,11.22935,
Pakistan,2005,,,,,,2.25436,13.77751,
Pakistan,2006,,,,,,2.62638,15.28909,
Pakistan,2007,,,,,,2.63527,15.4455,
Pakistan,2008,,,,,,2.74623,14.09698,
Pakistan,2009,,,,,,2.59078,12.08264,
Pakistan,2010,,,,,,2.28687,11.86466,
Pakistan,2011,,,,,,2.22175,10.92462,
Pakistan,2012,,,,,,2.13628,11.04063,
Pakistan,2013,,,,10.40159,75.17619,2.49344,11.51398,32.6824
Pakistan,2014,,,,,,2.45459,11.30067,35.13516
Palau,2000,,,,,,7.81618,13.80012,
Palau,2001,,,,,60.45535,7.52348,15.1165,44.86443
Palau,2002,,,,,,7.47689,15.34344,
Panama,1996,,,,,,4.33518,,
Panama,1997,,,,,,4.07345,17.35391,
Panama,1999,14.15147,,14.15147,19.74671,34.76917,4.83591,18.97315,38.41875
Panama,2000,14.46447,,14.46447,22.28488,32.93017,5.03969,19.83194,37.61984
Panama,2001,11.0863,,11.0863,14.65039,30.40893,4.34738,16.63913,33.40638
Panama,2002,10.78043,,10.78043,16.40871,33.74297,4.43821,16.9575,32.0895
Panama,2003,,,,,,4.41392,16.34301,
Panama,2004,10.05187,,10.05187,12.79229,27.60662,3.78917,14.56827,34.51866
Panama,2007,12.14631,,12.14631,14.76614,,,,
Panama,2008,,,,,,3.54055,14.88983,
Panama,2011,6.57552,,6.57552,9.66496,20.52257,3.29343,13.01972,23.47102
Panama,2012,,,,,20.12669,,,
Paraguay,1998,,,,,,4.30809,17.54141,
Paraguay,1999,,,,,,4.45497,21.87683,
Paraguay,2000,11.74134,,11.74134,15.92669,50.85655,4.57071,21.55939,46.40348
Paraguay,2001,11.35019,,11.35019,13.45382,41.03173,4.25042,19.87923,47.26645
Paraguay,2002,10.51855,,10.51855,11.77534,24.27563,3.87704,18.81539,46.87771
Paraguay,2003,11.13837,,11.13837,12.51376,26.76181,3.94925,20.8618,46.44362
Paraguay,2004,9.97529,,9.97529,11.28166,21.32192,3.43809,18.22925,46.62214
Paraguay,2007,9.52282,,9.52282,14.42658,23.02161,3.54604,19.33039,39.21369
Paraguay,2010,11.16627,,11.16627,15.67804,20.03378,3.76766,18.72218,38.50655
Paraguay,2011,12.03329,,12.03329,17.59198,,4.96643,23.24948,30.24235
Paraguay,2012,15.14728,,15.14728,17.35303,,4.96304,19.60245,38.25415
Peru,1996,,,,,,3.19257,,
Peru,1998,7.88051,,7.88051,11.24574,,3.33631,,40.28828
Peru,1999,8.52279,,8.52279,10.47523,,3.50094,,41.34381
Peru,2000,8.22001,,8.22001,10.18259,,3.2764,15.25037,41.85999
Peru,2001,7.29097,,7.29097,9.61909,,3.06289,14.79623,38.96946
Peru,2002,6.56519,,6.56519,9.10884,11.30728,2.83824,14.57806,37.06412
Peru,2003,6.77324,,6.77324,10.21896,12.49946,2.92289,14.65831,35.9535
Peru,2004,7.30717,,7.30717,10.53556,12.58062,2.96114,15.27385,37.22076
Peru,2005,6.97273,,6.97273,10.15123,9.4531,2.88118,14.27852,35.5932
Peru,2006,7.53562,,7.53562,10.48677,11.37514,2.67639,14.0353,40.44302
Peru,2007,7.62525,,7.62525,10.21594,,2.6294,14.14177,40.88647
Peru,2008,8.5476,,8.5476,10.38982,,2.84364,14.53442,40.47731
Peru,2009,9.65647,,9.65647,11.39989,,3.13037,14.59631,40.3786
Peru,2010,8.82699,,8.82699,10.65939,10.00923,2.84742,13.55558,39.86038
Peru,2011,8.39982,,8.39982,9.33663,,2.68161,13.55255,38.83053
Peru,2012,9.22354,,9.22354,10.6956,,2.92168,14.37909,36.6123
Peru,2013,11.14476,,11.14476,10.38009,,3.27688,15.20863,39.69055
Peru,2014,,,,,,3.657,16.2449,38.47043
Philippines,1996,,,,,,3.36287,,
Philippines,1997,,,,,,3.56313,15.3684,
Philippines,1998,,,,,,3.81449,18.18099,
Philippines,2000,12.02267,,12.02267,10.27207,14.41511,3.26766,15.20676,60.45892
Philippines,2001,11.31083,,11.31083,9.0454,13.36069,3.02662,13.91591,60.44693
Philippines,2002,10.75915,,10.75915,8.88041,14.0399,2.99708,14.06893,57.51813
Philippines,2003,11.41175,,11.41175,9.78325,13.70191,3.0447,14.38022,59.06715
Philippines,2004,8.98081,,8.98081,8.79719,12.10808,2.56797,12.7509,54.32305
Philippines,2005,8.32388,,8.32388,8.85301,11.13235,2.42629,12.42232,51.99414
Philippines,2006,,,,,,2.53381,13.26849,
Philippines,2007,8.68041,,8.68041,8.77856,9.22771,2.59534,13.66697,50.47004
Philippines,2008,9.00382,,9.00382,9.13996,9.65979,2.69298,14.44199,50.63602
Philippines,2009,,,,,10.50631,2.65295,13.21117,54.97509
Philippines,2013,,,,,,3.41,,
Poland,1996,,,,,,6.38143,,
Poland,1998,,,,10.88025,36.21643,4.98045,11.27881,
Poland,1999,,,,,21.05315,4.6411,10.8919,
Poland,2000,,,,,17.5116,4.99362,12.19891,
Poland,2001,,,,,17.9883,5.32975,12.17392,
Poland,2002,22.40313,,22.40313,19.81828,21.06041,5.39797,12.22743,33.71073
Poland,2003,22.79374,,22.79374,19.68689,19.66127,5.33218,11.97418,33.37789
Poland,2004,22.71006,,22.71006,21.50472,21.36923,5.38899,12.6811,31.5182
Poland,2005,23.67164,,23.67164,22.13189,21.39593,5.45666,12.1865,30.95879
Poland,2006,24.93106,,24.93106,22.97868,17.01251,5.22829,12.62833,32.53095
Poland,2007,24.1309,,24.1309,21.79344,16.44311,4.87176,11.25322,32.28669
Poland,2008,25.29158,,25.29158,22.85594,18.35193,5.07496,11.45085,31.04745
Poland,2009,25.94946,,25.94946,23.92297,18.75173,5.02705,11.13928,31.04314
Poland,2010,27.0215,,27.0215,24.31299,20.62623,5.09644,11.10892,31.03347
Poland,2011,26.24852,,26.24852,23.80396,20.55109,4.86121,11.06334,30.71056
Portugal,1996,,,,,,5.06512,,
Portugal,1999,18.67573,,18.67573,26.39854,26.96595,5.04535,11.85663,29.53307
Portugal,2000,19.60965,,19.60965,27.45393,25.76338,5.16177,12.10436,29.94187
Portugal,2001,20.90474,,20.90474,28.86026,26.2307,5.33507,12.09401,30.30813
Portugal,2002,22.03138,,22.03138,28.96929,23.78989,5.25588,12.02215,30.97305
Portugal,2003,21.84028,,21.84028,29.5211,24.84234,5.27827,11.64595,30.37897
Portugal,2004,21.78473,,21.78473,32.70983,22.04932,5.0423,10.94621,31.25675
Portugal,2005,21.67935,,21.67935,32.41884,25.33618,5.07076,10.86354,30.64015
Portugal,2006,20.76202,,20.76202,31.53999,26.77534,4.90802,11.43944,30.1717
Portugal,2007,19.2106,,19.2106,30.14913,32.0895,4.92191,11.06376,27.90047
Portugal,2008,18.97337,,18.97337,30.21151,25.4724,4.70213,10.37183,28.82131
Portugal,2009,21.35387,,21.35387,37.1795,29.20305,5.56214,11.07481,27.01513
Portugal,2010,21.00495,,21.00495,34.8872,30.01118,5.40289,10.42656,26.9713
Portugal,2011,20.76488,,20.76488,32.56221,26.87704,5.12129,10.24668,27.67996
Puerto Rico,2013,,,,,,6.38242,21.58274,21.64043
Qatar,1998,,,,,,3.57767,7.93362,
Qatar,1999,,,,,,4.3453,9.63585,
Qatar,2000,,,,,,3.72598,9.57736,
Qatar,2001,,,,,,3.20019,10.19462,
Qatar,2002,,,,,,3.84656,11.97642,
Qatar,2003,,,,,,3.37394,10.43067,
Qatar,2004,,,,,,3.46259,11.76485,
Qatar,2005,,,,,,3.97188,12.70809,
Qatar,2006,,,,,,2.70487,8.63605,
Qatar,2007,,,,,,2.45446,8.10067,
Qatar,2008,,,,,,4.22755,14.222,
Qatar,2009,9.66652,,9.66652,10.26967,,3.41315,14.32702,17.63843
Qatar,2010,,,,,,4.53966,13.17872,
Qatar,2011,,,,,,4.01224,12.70807,
Qatar,2012,,,,,,3.46552,11.80998,
Qatar,2013,,,,,,4.00712,12.76523,
Qatar,2014,,,,,,3.52539,11.13241,
Romania,1996,,,,,,3.38874,,
Romania,2000,,,,,,2.86468,8.18758,
Romania,2001,,,,,32.26918,3.25094,9.84882,
Romania,2002,,,,,26.06045,3.50999,10.92235,
Romania,2003,11.93395,,11.93395,13.44606,22.75638,3.44506,11.13906,15.90884
Romania,2004,9.76206,,9.76206,14.52902,21.81055,3.27684,9.84331,13.96431
Romania,2005,10.514,,10.514,15.69597,23.26884,3.47503,10.83668,13.76993
Romania,2007,19.22053,,19.22053,16.01012,25.15863,4.24614,12.00496,19.89485
Romania,2009,18.59013,,18.59013,16.56729,22.23955,4.23975,11.02129,18.42169
Romania,2010,13.90702,,13.90702,14.00914,20.33674,3.52577,9.12913,16.40806
Romania,2011,11.84678,,11.84678,11.89818,19.66054,3.07337,8.33493,15.80244
Romania,2012,11.80927,,11.80927,12.56315,,2.9855,8.43579,15.91537
Russia,2000,,,,,10.96877,2.93981,8.95183,
Russia,2001,,,,,10.95493,3.10602,9.21335,
Russia,2002,,,,,11.92865,3.83902,10.58385,
Russia,2003,,,,,11.43666,3.67854,10.53169,
Russia,2004,,,,,10.85278,3.54787,11.17592,
Russia,2005,,,,,12.62505,3.77193,11.95056,
Russia,2006,,,,,13.15836,3.86626,12.4258,
Russia,2008,,,,,14.24698,4.10175,11.95923,
Russia,2012,,,,,,4.15467,11.14676,
Rwanda,1999,,,,,,4.57848,21.90942,
Rwanda,2000,11.56977,,11.56977,44.25031,1273.21997,4.09511,21.09614,48.17785
Rwanda,2001,,,,,,5.66607,26.69957,
Rwanda,2005,8.9865,,8.9865,,333.07178,,,
Rwanda,2007,9.17752,,9.17752,31.62482,264.29926,4.29646,18.77496,46.26699
Rwanda,2008,8.04863,,8.04863,33.54058,217.69707,3.782,15.59088,45.59538
Rwanda,2010,8.32789,,8.32789,37.57619,189.0173,4.95011,17.37576,36.73722
Rwanda,2011,6.94499,,6.94499,39.51556,127.75165,4.71131,15.38505,31.8464
Rwanda,2012,8.01472,,8.01472,36.12759,98.06936,4.75101,15.92128,36.24898
Rwanda,2013,7.2211,,7.2211,41.29296,104.74612,5.02795,16.59715,30.11024
Saint Kitts and Nevis,1998,18.369,,18.369,,,5.36297,14.4316,49.28903
Saint Kitts and Nevis,1999,,,,,,4.42932,10.32295,
Saint Kitts and Nevis,2000,,,,,,4.75855,13.68505,
Saint Kitts and Nevis,2001,,,,,,4.40403,14.20753,
Saint Kitts and Nevis,2002,,,,,,3.92256,9.95556,
Saint Kitts and Nevis,2003,,,,,,3.84377,11.86328,
Saint Kitts and Nevis,2004,,,,,,4.01691,11.53994,
Saint Kitts and Nevis,2005,,,,,,3.85991,11.05621,
Saint Kitts and Nevis,2006,,,,,,4.1125,12.2831,
Saint Kitts and Nevis,2007,,,,,,4.2253,12.75324,
Saint Lucia,1998,,,,,,7.37781,29.43382,
Saint Lucia,1999,26.85467,,26.85467,24.71673,,7.25485,26.03627,61.06226
