Entity,Year,Share of population covered by health insurance (ILO (2014)),Total health care coverage (ILO and OECD selected years)
Kuwait,2006,100.0,100
Kyrgyzstan,2001,83.0,83
Laos,2009,11.6,11.6
Latvia,2005,70.0,70
Lebanon,2007,48.3,48.3
Lesotho,2009,17.6,17.6
Liechtenstein,2008,95.0,95
Lithuania,2009,95.0,95
Luxembourg,1960,,90
Luxembourg,1961,,90
Luxembourg,1962,,99
Luxembourg,2010,97.6,
Macedonia,2006,94.9,94.9
Madagascar,2009,3.7,3.7
Malaysia,2010,100.0,100
Maldives,2011,30.0,30
Mali,2008,1.9,1.9
Malta,2009,100.0,100
Mauritania,2009,6.0,6
Mauritius,2010,100.0,100
Mexico,2010,85.6,85.6
Moldova,2004,75.7,75.7
Mongolia,2009,81.9,81.9
Montenegro,2004,95.0,95
Morocco,2007,42.3,42.3
Namibia,2007,28.0,28
Nepal,2010,0.1,0.1
Netherlands,1960,,71
Netherlands,1961,,71
Netherlands,1962,,71
Netherlands,1963,,71
Netherlands,1964,,71
Netherlands,1965,,71
Netherlands,2010,98.9,
New Zealand,1960,,100
New Zealand,1961,,100
New Zealand,1962,,100
New Zealand,1963,,100
New Zealand,1964,,100
New Zealand,1965,,100
New Zealand,2011,100.0,
Nicaragua,2005,12.2,12.2
Niger,2003,3.1,3.1
Nigeria,2008,2.2,2.2
Norway,1960,,100
Norway,1961,,100
Norway,1962,,100
Norway,1963,,100
Norway,1964,,100
Norway,1965,,100
Norway,2011,100.0,
Oman,2005,97.0,97
Pakistan,2009,26.6,26.6
Palestine,2004,16.2,16.2
Panama,2008,51.8,51.8
Paraguay,2009,23.6,23.6
Peru,2010,64.4,64.4
Philippines,2009,82.0,82
Poland,2010,97.5,97.5
Portugal,1960,,18
Portugal,1961,,20
Portugal,1962,,20
Portugal,1963,,20
Portugal,1964,,29
Portugal,1965,,32
Portugal,2010,100.0,
Qatar,2006,100.0,100
Romania,2009,94.3,94.3
Russia,2011,88.0,88
Rwanda,2010,91.0,91
Saint Kitts and Nevis,2008,28.8,28.8
Saint Lucia,2003,35.5,35.5
Saint Vincent and the Grenadines,2008,9.4,9.4
Sao Tome and Principe,2009,2.1,2.1
Senegal,2007,20.1,20.1
Serbia,2009,92.1,92.1
Sierra Leone,2008,0.0,0
Singapore,2010,100.0,100
Slovakia,2010,94.8,94.8
Slovenia,2011,100.0,100
South Africa,2010,100.0,100
South Korea,2010,100.0,
Spain,1960,,54
Spain,1961,,54
Spain,1962,,54
Spain,1963,,54
Spain,1964,,54
Spain,1965,,55
Spain,2010,99.2,
Sri Lanka,2010,100.0,100
Sudan,2009,29.7,29.7
Swaziland,2006,6.2,6.2
Sweden,1960,,100
Sweden,1961,,100
Sweden,1962,,100
Sweden,1963,,100
Sweden,1964,,100
Sweden,1965,,100
Sweden,2011,100.0,
Switzerland,1960,,74
Switzerland,1961,,74
Switzerland,1962,,75
Switzerland,1963,,77
Switzerland,1964,,79
Switzerland,1965,,82
Switzerland,2010,100.0,
Syria,2008,90.0,90
Taiwan,2010,99.6,99.6
Tajikistan,2010,0.3,0.3
Tanzania,2010,13.0,13
Thailand,2007,98.0,98
Togo,2010,4.0,4
Tunisia,2005,80.0,80
Turkey,2011,86.0,86
Turkmenistan,2010,82.3,82.3
Uganda,2008,2.0,2
Ukraine,2011,100.0,100
United Arab Emirates,2011,100.0,100
United Kingdom,1960,,100
United Kingdom,1961,,100
United Kingdom,1962,,100
United Kingdom,1963,,100
United Kingdom,1964,,100
United Kingdom,1965,,100
United Kingdom,2010,100.0,
United States,2010,84.0,
Uruguay,2010,97.2,97.2
Uzbekistan,2010,100.0,100
Vanuatu,2010,100.0,100
Venezuela,2010,100.0,100
Vietnam,2010,61.0,61
Yemen,2003,42.0,42
Zambia,2008,8.4,8.4
Zimbabwe,2009,1.0,1
