Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Fiji,1990,,6.8
Fiji,1995,,6.4
Fiji,2000,,6.1
Fiji,2005,,6.3
Fiji,2006,,6.4
Fiji,2010,,5.9
Fiji,2016,,5.6
Finland,1990,,26.5
Finland,1995,,24.3
Finland,2000,,23.3
Finland,2005,,22.9
Finland,2006,,23
Finland,2010,,22.7
Finland,2016,,20.3
France,1990,,28.6
France,1995,,28.9
France,2000,,29.3
France,2005,,29.4
France,2006,,29.7
France,2010,,30.5
France,2016,,28.6
Gabon,1990,,13.3
Gabon,1995,,13.1
Gabon,2000,,10.6
Gabon,2005,,8.7
Gabon,2006,,8.4
Gabon,2010,,7.3
Gabon,2016,,7.5
Gambia,1990,,4.7
Gambia,1995,,4.8
Gambia,2000,,5.4
Gambia,2005,,5.7
Gambia,2006,,5.8
Gambia,2010,,5.8
Gambia,2016,,5.5
Georgia,1990,,25.3
Georgia,1995,,20.2
Georgia,2000,,20.3
Georgia,2005,,22.3
Georgia,2006,,22.4
Georgia,2010,,25.1
Georgia,2016,,25.5
Germany,1990,,27.8
Germany,1995,,28.5
Germany,2000,,27.9
Germany,2005,,27.6
Germany,2006,,27.7
Germany,2010,,27.8
Germany,2016,,26.7
Ghana,1990,,2.9
Ghana,1995,,2.9
Ghana,2000,,2.9
Ghana,2005,,3.5
Ghana,2006,,3.5
Ghana,2010,,3.6
Ghana,2016,,3.9
Greece,1990,,34.7
Greece,1995,,34.9
Greece,2000,,34.5
Greece,2005,,34.1
Greece,2006,,33.9
Greece,2010,,33.6
Greece,2016,,32.5
Greenland,1990,,57.6
Greenland,1995,,57.7
Greenland,2000,,57.7
Greenland,2005,,57
Greenland,2006,,56.8
Greenland,2010,,57
Greenland,2016,,57.1
Grenada,1990,,10.1
Grenada,1995,,10.1
Grenada,2000,,10.3
Grenada,2005,,11.1
Grenada,2006,,11.3
Grenada,2010,,10.9
Grenada,2016,,11.6
Guam,1990,,40.9
Guam,1995,,38.7
Guam,2000,,37.8
Guam,2005,,39.5
Guam,2006,,39.8
Guam,2010,,41.1
Guam,2016,,40.5
Guatemala,1990,,4.1
Guatemala,1995,,4.8
Guatemala,2000,,5.7
Guatemala,2005,,5.2
Guatemala,2006,,4.6
Guatemala,2010,,3.2
Guatemala,2016,,3
Guinea,1990,,6.4
Guinea,1995,,7.8
Guinea,2000,,9
Guinea,2005,,9.1
Guinea,2006,,9.3
Guinea,2010,,10.1
Guinea,2016,,10.3
Guinea-Bissau,1990,,8.4
Guinea-Bissau,1995,,8.4
Guinea-Bissau,2000,,8.4
Guinea-Bissau,2005,,9.1
Guinea-Bissau,2006,,9.2
Guinea-Bissau,2010,,10.1
Guinea-Bissau,2016,,10.8
Guyana,1990,,5.6
Guyana,1995,,4.5
Guyana,2000,,5.8
Guyana,2005,,5.1
Guyana,2006,,4.9
Guyana,2010,,4.7
Guyana,2016,,4
Haiti,1990,,14.5
Haiti,1995,,13.7
Haiti,2000,,12.7
Haiti,2005,,12.4
Haiti,2006,,12.4
Haiti,2010,,12.4
Haiti,2016,,13
High-income,1990,,30.5
High-income,1995,,30.9
High-income,2000,,30.3
High-income,2005,,29.7
High-income,2006,,29.5
High-income,2010,,28.7
High-income,2016,,27.8
Honduras,1990,,5.5
Honduras,1995,,6.4
Honduras,2000,,6.3
Honduras,2005,,7.1
Honduras,2006,,7.1
Honduras,2010,,7.1
Honduras,2016,,7
Hungary,1990,,34.6
Hungary,1995,,36.9
Hungary,2000,,38.1
Hungary,2005,,39.8
Hungary,2006,,40.1
Hungary,2010,,41
Hungary,2016,,38.4
Iceland,1990,,29.7
Iceland,1995,,30.9
Iceland,2000,,30.9
Iceland,2005,,31.2
Iceland,2006,,31.2
Iceland,2010,,30.6
Iceland,2016,,29.5
India,1990,,10.2
India,1995,,10.1
India,2000,,9.9
India,2005,,10.4
India,2006,,10.3
India,2010,,10.4
India,2016,,10.8
Indonesia,1990,,8.3
Indonesia,1995,,8.8
Indonesia,2000,,7.6
Indonesia,2005,,7.8
Indonesia,2006,,7.9
Indonesia,2010,,7.7
Indonesia,2016,,7
Iran,1990,,13.3
Iran,1995,,14.6
Iran,2000,,14.4
Iran,2005,,13.2
Iran,2006,,13.6
Iran,2010,,15.6
Iran,2016,,15.8
Iraq,1990,,12.5
Iraq,1995,,13.5
Iraq,2000,,15
Iraq,2005,,16.2
Iraq,2006,,16.5
Iraq,2010,,17.7
Iraq,2016,,16
Ireland,1990,,31.7
Ireland,1995,,32
Ireland,2000,,32.1
Ireland,2005,,31.2
Ireland,2006,,31.1
Ireland,2010,,30.2
Ireland,2016,,28.2
Israel,1990,,22.3
Israel,1995,,22.2
Israel,2000,,21.5
Israel,2005,,22.2
Israel,2006,,22.3
Israel,2010,,21.5
Israel,2016,,21.5
Italy,1990,,33.2
Italy,1995,,32.6
Italy,2000,,31.4
Italy,2005,,29.1
Italy,2006,,29.1
Italy,2010,,28.7
Italy,2016,,27.4
Jamaica,1990,,14.1
Jamaica,1995,,16.5
Jamaica,2000,,17.4
Jamaica,2005,,15.1
Jamaica,2006,,15.7
Jamaica,2010,,16
Jamaica,2016,,16.5
Japan,1990,,16.4
Japan,1995,,17.7
Japan,2000,,17.8
Japan,2005,,17.7
Japan,2006,,17.7
Japan,2010,,17.2
Japan,2016,,15.4
Jordan,1990,,12.2
Jordan,1995,,12.1
Jordan,2000,,11.8
Jordan,2005,,14.1
Jordan,2006,,14.5
Jordan,2010,,15.8
Jordan,2016,,15
Kazakhstan,1990,,37.7
Kazakhstan,1995,,37.5
Kazakhstan,2000,,33.6
Kazakhstan,2005,,31.8
Kazakhstan,2006,,31.1
Kazakhstan,2010,,27.1
Kazakhstan,2016,,24.2
Kenya,1990,,2.9
Kenya,1995,,3.4
Kenya,2000,,3.7
Kenya,2005,,3.4
Kenya,2006,,3.3
Kenya,2010,,3.4
Kenya,2016,,3.8
Kiribati,1990,,21.4
Kiribati,1995,,21.4
Kiribati,2000,,22.9
Kiribati,2005,,23.2
Kiribati,2006,,23.2
Kiribati,2010,,23.1
Kiribati,2016,,22.6
Kuwait,1990,,17.8
Kuwait,1995,,18.7
Kuwait,2000,,14.5
Kuwait,2005,,13.2
Kuwait,2006,,13.5
Kuwait,2010,,12.5
Kuwait,2016,,10.1
Kyrgyzstan,1990,,27.2
Kyrgyzstan,1995,,25.8
Kyrgyzstan,2000,,19.5
Kyrgyzstan,2005,,19.3
Kyrgyzstan,2006,,19.1
Kyrgyzstan,2010,,17.5
Kyrgyzstan,2016,,15.4
Laos,1990,,22.1
Laos,1995,,23.2
Laos,2000,,23.3
Laos,2005,,23.5
Laos,2006,,23.6
Laos,2010,,23.8
Laos,2016,,25.2
Latin America and Caribbean,1990,,16.6
Latin America and Caribbean,1995,,16.8
Latin America and Caribbean,2000,,16.1
Latin America and Caribbean,2005,,15.6
Latin America and Caribbean,2006,,15.5
Latin America and Caribbean,2010,,14.6
Latin America and Caribbean,2016,,13.8
Latvia,1990,,32.4
Latvia,1995,,33.1
Latvia,2000,,28.9
Latvia,2005,,30
Latvia,2006,,29.7
Latvia,2010,,27
Latvia,2016,,25.5
Lebanon,1990,,24.6
Lebanon,1995,,19.2
Lebanon,2000,,18.9
Lebanon,2005,,22.3
Lebanon,2006,,22.7
Lebanon,2010,,22.7
Lebanon,2016,,22.6
Lesotho,1990,,19.7
Lesotho,1995,,21.1
Lesotho,2000,,22.8
Lesotho,2005,,25.2
Lesotho,2006,,25.5
Lesotho,2010,,25.3
Lesotho,2016,,26.4
Liberia,1990,,3.4
Liberia,1995,,2.2
Liberia,2000,,2.2
Liberia,2005,,2.8
Liberia,2006,,3
Liberia,2010,,3.8
Liberia,2016,,4.6
Libya,1990,,24.7
Libya,1995,,23.6
Libya,2000,,23.8
Libya,2005,,25.1
Libya,2006,,25.4
Libya,2010,,26.5
Libya,2016,,27.1
Lithuania,1990,,31.9
Lithuania,1995,,32.8
Lithuania,2000,,28.9
Lithuania,2005,,29.6
Lithuania,2006,,29.6
Lithuania,2010,,27.4
Lithuania,2016,,25.5
Luxembourg,1990,,31.6
Luxembourg,1995,,31.8
Luxembourg,2000,,31
Luxembourg,2005,,30.4
Luxembourg,2006,,30.2
Luxembourg,2010,,29.5
Luxembourg,2016,,27.5
Macedonia,1990,,26.8
Macedonia,1995,,27.8
Macedonia,2000,,28.9
Macedonia,2005,,30.3
Macedonia,2006,,30.6
Macedonia,2010,,31.6
Macedonia,2016,,29.7
Madagascar,1990,,4.4
Madagascar,1995,,3.8
Madagascar,2000,,3.4
Madagascar,2005,,3.3
Madagascar,2006,,3.2
Madagascar,2010,,3.2
Madagascar,2016,,3.4
Malawi,1990,,3.8
Malawi,1995,,4.5
Malawi,2000,,5.3
Malawi,2005,,4.9
Malawi,2006,,5.1
Malawi,2010,,5.4
Malawi,2016,,5.5
Malaysia,1990,,30.5
Malaysia,1995,,30
Malaysia,2000,,29.4
Malaysia,2005,,29.2
Malaysia,2006,,29.1
Malaysia,2010,,28.3
Malaysia,2016,,27.9
Maldives,1990,,17.2
Maldives,1995,,17.7
Maldives,2000,,16.5
Maldives,2005,,14.5
Maldives,2006,,14.1
Maldives,2010,,13.6
Maldives,2016,,15.3
Mali,1990,,4.5
Mali,1995,,3.2
Mali,2000,,2.6
Mali,2005,,2.7
Mali,2006,,2.8
Mali,2010,,3.2
Mali,2016,,3.3
Malta,1990,,25.2
Malta,1995,,25.1
Malta,2000,,24.9
Malta,2005,,21.8
Malta,2006,,22.2
Malta,2010,,22.9
Malta,2016,,22.1
Marshall Islands,1990,,18.9
Marshall Islands,1995,,19
Marshall Islands,2000,,18.3
Marshall Islands,2005,,18.5
Marshall Islands,2006,,18.5
Marshall Islands,2010,,18.1
Marshall Islands,2016,,17.5
Mauritania,1990,,10
Mauritania,1995,,8.8
Mauritania,2000,,6.8
Mauritania,2005,,5.5
Mauritania,2006,,5.6
Mauritania,2010,,5.9
Mauritania,2016,,7.4
Mauritius,1990,,19.4
Mauritius,1995,,18.3
Mauritius,2000,,15.9
Mauritius,2005,,16.3
Mauritius,2006,,16
Mauritius,2010,,14.7
Mauritius,2016,,13.9
Mexico,1990,,13.6
Mexico,1995,,13.4
Mexico,2000,,11.6
Mexico,2005,,10.4
Mexico,2006,,9.8
Mexico,2010,,8.2
Mexico,2016,,7.1
Micronesia,1990,,22.5
Micronesia,1995,,22.8
Micronesia,2000,,23
Micronesia,2005,,21.8
Micronesia,2006,,21.7
Micronesia,2010,,22.1
Micronesia,2016,,21.9
Moldova,1990,,29.1
Moldova,1995,,29.4
Moldova,2000,,24.1
Moldova,2005,,24.9
Moldova,2006,,24.4
Moldova,2010,,25.1
Moldova,2016,,22.2
Mongolia,1990,,33.7
Mongolia,1995,,37.5
Mongolia,2000,,33.9
Mongolia,2005,,32.1
Mongolia,2006,,31.8
Mongolia,2010,,30.5
Mongolia,2016,,30.2
Montenegro,1990,,40.8
Montenegro,1995,,41.4
Montenegro,2000,,41.8
Montenegro,2005,,41.2
Montenegro,2006,,41.1
Montenegro,2010,,39.7
Montenegro,2016,,38.9
Morocco,1990,,22.4
Morocco,1995,,20.4
Morocco,2000,,19.4
Morocco,2005,,18.9
Morocco,2006,,18.9
Morocco,2010,,18.9
Morocco,2016,,19.1
Mozambique,1990,,3.2
Mozambique,1995,,3.1
Mozambique,2000,,4
Mozambique,2005,,4.6
Mozambique,2006,,4.9
Mozambique,2010,,5.6
Mozambique,2016,,5.6
Myanmar,1990,,22.5
Myanmar,1995,,22.4
Myanmar,2000,,23
Myanmar,2005,,24.5
Myanmar,2006,,24.7
Myanmar,2010,,25.8
Myanmar,2016,,27.8
Namibia,1990,,3.9
Namibia,1995,,4.2
Namibia,2000,,5.7
Namibia,2005,,4.8
Namibia,2006,,4.6
Namibia,2010,,3.6
Namibia,2016,,3.1
Nepal,1990,,13.2
Nepal,1995,,12.9
Nepal,2000,,12.4
Nepal,2005,,12
Nepal,2006,,11.9
Nepal,2010,,11.8
Nepal,2016,,12.2
Netherlands,1990,,36.2
Netherlands,1995,,35.9
Netherlands,2000,,35.7
Netherlands,2005,,35.1
Netherlands,2006,,34.8
Netherlands,2010,,34.7
Netherlands,2016,,33
New Zealand,1990,,29.1
New Zealand,1995,,27.5
New Zealand,2000,,25.4
New Zealand,2005,,24.5
New Zealand,2006,,24.4
New Zealand,2010,,23.6
New Zealand,2016,,22.4
Nicaragua,1990,,2.9
Nicaragua,1995,,3.5
Nicaragua,2000,,3.3
Nicaragua,2005,,3.4
Nicaragua,2006,,3.3
Nicaragua,2010,,3.2
Nicaragua,2016,,3.4
Niger,1990,,5.8
Niger,1995,,4.3
Niger,2000,,4.1
Niger,2005,,4.8
Niger,2006,,5.1
Niger,2010,,6.1
Niger,2016,,6.1
Nigeria,1990,,2.8
Nigeria,1995,,2.2
Nigeria,2000,,2.1
Nigeria,2005,,2.1
Nigeria,2006,,2.1
Nigeria,2010,,2.1
Nigeria,2016,,2.2
North Africa and Middle East,1990,,20.9
North Africa and Middle East,1995,,20.7
North Africa and Middle East,2000,,19.8
North Africa and Middle East,2005,,19.2
North Africa and Middle East,2006,,19.1
North Africa and Middle East,2010,,19.2
North Africa and Middle East,2016,,18.6
North America,1990,,39.3
North America,1995,,40.2
North America,2000,,39.6
North America,2005,,38.9
North America,2006,,38.4
North America,2010,,36.4
North America,2016,,35.7
North Korea,1990,,56.8
North Korea,1995,,56
North Korea,2000,,54.2
North Korea,2005,,53.7
North Korea,2006,,53.4
North Korea,2010,,52.6
North Korea,2016,,51.8
Northern Ireland,1990,,33.2
Northern Ireland,1995,,33.2
Northern Ireland,2000,,33.3
Northern Ireland,2005,,33.3
Northern Ireland,2006,,33.4
Northern Ireland,2010,,33.2
Northern Ireland,2016,,32.1
Northern Mariana Islands,1990,,40.8
Northern Mariana Islands,1995,,40.3
Northern Mariana Islands,2000,,39
Northern Mariana Islands,2005,,40.3
Northern Mariana Islands,2006,,40.4
Northern Mariana Islands,2010,,40.4
Northern Mariana Islands,2016,,43.1
Norway,1990,,20.7
Norway,1995,,22.8
Norway,2000,,25
Norway,2005,,26.1
Norway,2006,,26.3
Norway,2010,,26.9
Norway,2016,,24.1
Oceania,1990,,19.2
Oceania,1995,,19.5
Oceania,2000,,19.3
Oceania,2005,,19.3
Oceania,2006,,19.3
Oceania,2010,,19.2
Oceania,2016,,19.3
Oman,1990,,3.8
Oman,1995,,5.7
