Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Brazil,1982,23.81,,,
Brazil,1983,30.64,,,
Brazil,1984,29.9,,,
Brazil,1985,25.14,,,
Brazil,1986,9.76,,,
Brazil,1987,18.13,,,
Brazil,1988,22.44,,,
Brazil,1989,20.51,,,
Brazil,1990,20.56,,,
Brazil,1992,20.76,,,
Brazil,1993,19.92,,,
Brazil,1995,12.99,,,
Brazil,1996,14.17,,,
Brazil,1997,13.99,,,
Brazil,1998,12.71,,,
Brazil,1999,13.36,,,
Brazil,2001,13.62,,,
Brazil,2002,12.31,,,
Brazil,2003,12.71,,,
Brazil,2004,11.04,,,
Brazil,2005,9.55,,,
Brazil,2006,7.94,,,
Brazil,2007,7.6,,,
Brazil,2008,6.29,,,
Brazil,2009,6.18,,,
Brazil,2011,5.5,,,
Brazil,2012,4.59,,,
Brazil,2013,4.87,,,
Brazil,2014,3.66,,,
Bulgaria,1989,0.05,,,
Bulgaria,1992,0,,,
Bulgaria,1994,0.24,,,
Bulgaria,1995,1.23,,,
Bulgaria,1997,0.45,,,
Bulgaria,2001,2,,,
Bulgaria,2003,0.88,,,
Bulgaria,2006,5.42,,,
Bulgaria,2007,0.42,,,
Bulgaria,2008,1.18,,,
Bulgaria,2009,1.15,,,
Bulgaria,2010,1.93,,,
Bulgaria,2011,2.19,,,
Bulgaria,2012,2.03,,,
Burkina Faso,1994,83.06,,,
Burkina Faso,1998,81.61,,,
Burkina Faso,2003,57.26,,,
Burkina Faso,2009,55.29,,,
Burkina Faso,2014,43.73,,,
Burundi,1992,81.12,,,
Burundi,1998,84.12,,,
Burundi,2006,77.65,,,
Cambodia,1994,30.06,,,
Cambodia,2004,18.6,,,
Cambodia,2007,16.92,,,
Cambodia,2008,10.13,,,
Cambodia,2009,4.95,,,
Cambodia,2010,4.6,,,
Cambodia,2011,3.37,,,
Cambodia,2012,2.17,,,
Cameroon,1996,48.08,,,
Cameroon,2001,23.12,,,
Cameroon,2007,29.27,,,
Cameroon,2014,23.98,,,
Cape Verde,2001,16.01,,,
Cape Verde,2007,8.07,,,
Central African Republic,1992,84.27,,,
Central African Republic,2003,64.77,,,
Central African Republic,2008,66.26,,,
Chad,2003,62.94,,,
Chad,2011,38.43,,,
Chile,1987,8.46,,,
Chile,1990,7.92,,,
Chile,1992,4.57,,,
Chile,1994,4.87,,,
Chile,1996,3.35,,,
Chile,1998,3.48,,,
Chile,2000,3.39,,,
Chile,2003,2.79,,,
Chile,2006,1.66,,,
Chile,2009,1.72,,,
Chile,2011,1.3,,,
Chile,2013,0.92,,,
China,1981,88.32,,,
China,1984,75.76,,,
China,1987,60.84,,,
China,1990,66.58,,,
China,1993,57,,,
China,1996,42.05,,,
China,1999,40.54,,,
China,2002,31.95,,,
China,2005,18.75,,,
China,2008,14.65,,,
China,2010,11.18,,,
China,2011,7.9,,,
China,2012,6.47,,,
China,2013,1.85,,,
Colombia,1988,13.42,,,
Colombia,1989,11.67,,,
Colombia,1991,11.28,,,
Colombia,1992,8.14,,,
Colombia,1996,15.62,,,
Colombia,1999,19.32,,,
Colombia,2000,16.2,,,
Colombia,2001,20.77,,,
Colombia,2002,14.66,,,
Colombia,2003,12.8,,,
Colombia,2004,11.79,,,
Colombia,2005,10.4,,,
Colombia,2008,10.71,,,
Colombia,2009,9.28,,,
Colombia,2010,8.06,,,
Colombia,2011,6.58,,,
Colombia,2012,7.09,,,
Colombia,2013,6.12,,,
Colombia,2014,5.68,,,
Comoros,2004,13.47,,,
Congo,2005,50.2,,,
Congo,2011,36.97,,,
Costa Rica,1981,35.6,,,
Costa Rica,1986,12.46,,,
Costa Rica,1989,11.97,,,
Costa Rica,1990,9.92,,,
Costa Rica,1991,11.66,,,
Costa Rica,1992,9.64,,,
Costa Rica,1993,8.01,,,
Costa Rica,1994,6.65,,,
Costa Rica,1995,6.94,,,
Costa Rica,1996,7.96,,,
Costa Rica,1997,6.47,,,
Costa Rica,1998,5.06,,,
Costa Rica,1999,6.37,,,
Costa Rica,2000,6.48,,,
Costa Rica,2001,6.54,,,
Costa Rica,2002,6.34,,,
Costa Rica,2003,6.11,,,
Costa Rica,2004,5.59,,,
Costa Rica,2005,4.37,,,
Costa Rica,2006,4.37,,,
Costa Rica,2007,2.4,,,
Costa Rica,2008,2.71,,,
Costa Rica,2009,3.33,,,
Costa Rica,2010,1.61,,,
Costa Rica,2011,1.75,,,
Costa Rica,2012,1.72,,,
Costa Rica,2013,1.68,,,
Costa Rica,2014,1.61,,,
Cote d'Ivoire,1985,6.81,,,
Cote d'Ivoire,1986,3.1,,,
Cote d'Ivoire,1987,6.66,,,
Cote d'Ivoire,1988,10.68,,,
Cote d'Ivoire,1992,22.13,,,
Cote d'Ivoire,1995,19.11,,,
Cote d'Ivoire,1998,25.66,,,
Cote d'Ivoire,2002,23.03,,,
Cote d'Ivoire,2008,29.02,,,
Croatia,1988,0.04,,,
Croatia,1998,0,,,
Croatia,1999,0.24,,,
Croatia,2000,0.09,,,
Croatia,2001,0.09,,,
Croatia,2004,0,,,
Croatia,2008,0,,,
Croatia,2009,0.03,,,
Croatia,2010,0,,,
Croatia,2011,0.81,,,
Croatia,2012,0.92,,,
Czech Republic,1988,0,,,
Czech Republic,1993,0.02,,,
Czech Republic,1996,0.15,,,
Czech Republic,2004,0,,,
Czech Republic,2005,0,,,
Czech Republic,2006,0.07,,,
Czech Republic,2007,0.12,,,
Czech Republic,2008,0.04,,,
Czech Republic,2009,0.07,,,
Czech Republic,2010,0.04,,,
Czech Republic,2011,0.05,,,
Czech Republic,2012,0.06,,,
Democratic Republic of Congo,2004,94.05,,,
Democratic Republic of Congo,2012,77.08,,,
Djibouti,2002,20.63,,,
Djibouti,2012,18.32,,,
Djibouti,2013,22.52,,,
Dominican Republic,1986,38.25,,,
Dominican Republic,1989,36.67,,,
Dominican Republic,1992,5.27,,,
Dominican Republic,1996,4.93,,,
Dominican Republic,1997,5.18,,,
Dominican Republic,2000,5.46,,,
Dominican Republic,2001,4.17,,,
Dominican Republic,2002,5.84,,,
Dominican Republic,2003,6.79,,,
Dominican Republic,2004,8.62,,,
Dominican Republic,2005,5.84,,,
Dominican Republic,2006,4.55,,,
Dominican Republic,2007,4.34,,,
Dominican Republic,2008,3.76,,,
Dominican Republic,2009,3.26,,,
Dominican Republic,2010,2.61,,,
Dominican Republic,2011,2.9,,,
Dominican Republic,2012,2.59,,,
Dominican Republic,2013,2.32,,,
East Asia & Pacific,1981,80.46,,,
East Asia & Pacific,1984,69.89,,,
East Asia & Pacific,1987,58.31,,,
East Asia & Pacific,1990,60.23,,,
East Asia & Pacific,1993,52.43,,,
East Asia & Pacific,1996,39.38,,,
East Asia & Pacific,1999,37.24,,,
East Asia & Pacific,2002,28.95,,,
East Asia & Pacific,2005,18.43,,,
East Asia & Pacific,2008,14.88,,,
East Asia & Pacific,2010,11.11,,,
East Asia & Pacific,2011,8.44,,,
East Asia & Pacific,2012,7.12,,,
East Asia & Pacific,2013,3.54,,,
Ecuador,1987,23.16,,,
Ecuador,1994,17.13,,,
Ecuador,1995,13.81,,,
Ecuador,1998,15.66,,,
Ecuador,1999,21.82,,,
Ecuador,2000,28.15,,,
Ecuador,2003,16.94,,,
Ecuador,2004,15.2,,,
Ecuador,2005,13.6,,,
Ecuador,2006,9.31,,,
Ecuador,2007,10.05,,,
Ecuador,2008,8.96,,,
Ecuador,2009,8.92,,,
Ecuador,2010,7.05,,,
Ecuador,2011,5.86,,,
Ecuador,2012,5.88,,,
Ecuador,2013,4.43,,,
Ecuador,2014,3.82,,,
El Salvador,1989,18.98,,,
El Salvador,1991,20.65,,,
El Salvador,1995,19.89,,,
El Salvador,1996,21.97,,,
El Salvador,1998,20.02,,,
El Salvador,1999,16.27,,,
El Salvador,2000,11.81,,,
El Salvador,2001,12.73,,,
El Salvador,2002,13.08,,,
El Salvador,2003,15.76,,,
El Salvador,2004,9.95,,,
El Salvador,2005,9.55,,,
El Salvador,2006,6.36,,,
El Salvador,2007,4.49,,,
El Salvador,2008,6.92,,,
El Salvador,2009,6.39,,,
El Salvador,2010,7.24,,,
El Salvador,2011,4.53,,,
El Salvador,2012,4.16,,,
El Salvador,2013,3.25,,,
El Salvador,2014,2.97,,,
Estonia,1988,0.06,,,
Estonia,1993,1.32,,,
Estonia,1995,0.57,,,
Estonia,1998,0.15,,,
Estonia,2000,1.37,,,
Estonia,2001,1.17,,,
Estonia,2002,1.32,,,
Estonia,2003,1.14,,,
Estonia,2004,1.41,,,
Estonia,2005,0.97,,,
Estonia,2006,0.87,,,
Estonia,2007,0.52,,,
Estonia,2008,0.5,,,
Estonia,2009,0.73,,,
Estonia,2010,0.92,,,
Estonia,2011,1.21,,,
Estonia,2012,0.99,,,
Ethiopia,1981,69.26,,,
Ethiopia,1995,66.44,,,
Ethiopia,1999,55.37,,,
Ethiopia,2004,36.31,,,
Ethiopia,2010,33.54,,,
Europe & Central Asia,1987,2.95,,,
Europe & Central Asia,1990,4.04,,,
Europe & Central Asia,1993,6.92,,,
Europe & Central Asia,1996,7.77,,,
Europe & Central Asia,1999,8.1,,,
Europe & Central Asia,2002,6.28,,,
Europe & Central Asia,2005,5.11,,,
Europe & Central Asia,2008,3.3,,,
Europe & Central Asia,2010,3.03,,,
Europe & Central Asia,2011,2.73,,,
Europe & Central Asia,2012,2.53,,,
Europe & Central Asia,2013,2.25,,,
Fiji,2002,5.49,,,
Fiji,2008,4.07,,,
Fragile and conflict affected situations,1981,38.88,,,
Fragile and conflict affected situations,1984,40.35,,,
Fragile and conflict affected situations,1987,39.73,,,
Fragile and conflict affected situations,1990,41.54,,,
Fragile and conflict affected situations,1993,46.41,,,
Fragile and conflict affected situations,1996,45.4,,,
Fragile and conflict affected situations,1999,43.71,,,
Fragile and conflict affected situations,2002,43.88,,,
Fragile and conflict affected situations,2005,42.92,,,
Fragile and conflict affected situations,2008,41.53,,,
Fragile and conflict affected situations,2010,40.85,,,
Fragile and conflict affected situations,2011,40.15,,,
Fragile and conflict affected situations,2012,39.39,,,
Fragile and conflict affected situations,2013,38.4,,,
Gabon,2005,7.97,,,
Gambia,1998,70.46,,,
Gambia,2003,45.29,,,
Georgia,1996,6.04,,,
Georgia,1997,17.62,,,
Georgia,1998,15.72,,,
Georgia,1999,19.9,,,
Georgia,2000,20.99,,,
Georgia,2001,20.91,,,
Georgia,2002,16.87,,,
Georgia,2003,17.41,,,
Georgia,2004,16.81,,,
Georgia,2005,16.21,,,
Georgia,2006,13.92,,,
Georgia,2007,16.3,,,
Georgia,2008,15.47,,,
Georgia,2009,15.4,,,
Georgia,2010,19.58,,,
Georgia,2011,17.79,,,
Georgia,2012,15.49,,,
Georgia,2013,11.49,,,
Georgia,2014,9.77,,,
Ghana,1987,39.95,,,
Ghana,1988,39.74,,,
Ghana,1991,47.38,,,
Ghana,1998,33.85,,,
Ghana,2005,25.19,,,
Guatemala,1986,50.94,,,
Guatemala,1989,38.02,,,
Guatemala,1998,13.38,,,
Guatemala,2000,10.1,,,
Guatemala,2006,11.51,,,
Guatemala,2011,11.53,,,
Guatemala,2014,9.32,,,
Guinea,1991,92.31,,,
Guinea,1994,48.54,,,
Guinea,2002,61.6,,,
Guinea,2007,59.7,,,
Guinea,2012,35.27,,,
Guinea-Bissau,1991,42.96,,,
Guinea-Bissau,1993,64.02,,,
Guinea-Bissau,2002,53.87,,,
Guinea-Bissau,2010,67.08,,,
Guyana,1992,33.19,,,
Guyana,1998,14,,,
Haiti,2001,55.59,,,
Haiti,2012,53.91,,,
High income,1981,0.85,,,
High income,1984,1.34,,,
High income,1987,1.19,,,
High income,1990,1.58,,,
High income,1993,1.13,,,
High income,1996,1.73,,,
High income,1999,0.75,,,
High income,2002,0.66,,,
High income,2005,0.6,,,
High income,2008,0.4,,,
High income,2010,0.56,,,
High income,2011,0.4,,,
High income,2012,0.36,,,
High income,2013,0.34,,,
Honduras,1986,25.28,,,
Honduras,1989,38.6,,,
Honduras,1990,44.28,,,
Honduras,1991,33.41,,,
Honduras,1992,28.67,,,
Honduras,1993,23.61,,,
Honduras,1994,26.7,,,
Honduras,1995,27.68,,,
Honduras,1996,30.35,,,
Honduras,1997,21.24,,,
Honduras,1998,25.93,,,
Honduras,1999,26.45,,,
Honduras,2001,18.28,,,
Honduras,2002,29.06,,,
Honduras,2003,27.47,,,
Honduras,2004,26.32,,,
Honduras,2005,27.79,,,
Honduras,2006,23.79,,,
Honduras,2007,17.43,,,
Honduras,2008,16.14,,,
Honduras,2009,14.04,,,
Honduras,2010,15.47,,,
Honduras,2011,18.75,,,
Honduras,2012,21.36,,,
Honduras,2013,18.93,,,
Honduras,2014,15.96,,,
Hungary,1987,0.06,,,
Hungary,1989,0.05,,,
Hungary,1993,0.17,,,
Hungary,1998,0.04,,,
Hungary,1999,0.03,,,
Hungary,2000,0,,,
Hungary,2001,0,,,
Hungary,2002,0,,,
Hungary,2003,0.02,,,
Hungary,2004,0,,,
Hungary,2005,0.21,,,
Hungary,2007,0.11,,,
Hungary,2008,0.03,,,
Hungary,2009,0.07,,,
Hungary,2010,0.08,,,
Hungary,2011,0.13,,,
Hungary,2012,0.26,,,
IBRD only,1981,52.72,,,
IBRD only,1984,47.39,,,
IBRD only,1987,40.31,,,
IBRD only,1990,40.38,,,
IBRD only,1993,37.79,,,
IBRD only,1996,31.51,,,
IBRD only,1999,30.17,,,
IBRD only,2002,25.75,,,
IBRD only,2005,20.01,,,
IBRD only,2008,16.92,,,
IBRD only,2010,13.93,,,
IBRD only,2011,11.11,,,
IBRD only,2012,9.75,,,
IBRD only,2013,7.34,,,
IDA & IBRD total,1981,52.19,,,
IDA & IBRD total,1984,48.06,,,
IDA & IBRD total,1987,42.53,,,
IDA & IBRD total,1990,42.45,,,
IDA & IBRD total,1993,40.47,,,
IDA & IBRD total,1996,34.73,,,
IDA & IBRD total,1999,33.74,,,
IDA & IBRD total,2002,30.37,,,
IDA & IBRD total,2005,24.41,,,
IDA & IBRD total,2008,21.33,,,
IDA & IBRD total,2010,18.58,,,
IDA & IBRD total,2011,16.12,,,
IDA & IBRD total,2012,14.8,,,
IDA & IBRD total,2013,12.73,,,
IDA blend,1981,48.93,,,
IDA blend,1984,49.37,,,
IDA blend,1987,50.99,,,
IDA blend,1990,46.47,,,
IDA blend,1993,44.67,,,
IDA blend,1996,37.55,,,
IDA blend,1999,39.09,,,
IDA blend,2002,41.7,,,
IDA blend,2005,31.49,,,
IDA blend,2008,28.22,,,
IDA blend,2010,24.78,,,
IDA blend,2011,23.56,,,
IDA blend,2012,22.43,,,
IDA blend,2013,21.77,,,
IDA only,1981,50.59,,,
IDA only,1984,51.88,,,
IDA only,1987,51.87,,,
IDA only,1990,53.37,,,
IDA only,1993,54.7,,,
IDA only,1996,52.56,,,
IDA only,1999,51.28,,,
IDA only,2002,49.24,,,
IDA only,2005,43.87,,,
IDA only,2008,40.03,,,
IDA only,2010,38.31,,,
IDA only,2011,36.58,,,
IDA only,2012,35.02,,,
IDA only,2013,33.4,,,
IDA total,1981,49.91,,,
IDA total,1984,50.85,,,
IDA total,1987,51.51,,,
IDA total,1990,50.55,,,
IDA total,1993,50.64,,,
IDA total,1996,46.54,,,
IDA total,1999,46.43,,,
IDA total,2002,46.27,,,
IDA total,2005,39.04,,,
IDA total,2008,35.47,,,
IDA total,2010,33.1,,,
IDA total,2011,31.58,,,
IDA total,2012,30.2,,,
IDA total,2013,28.95,,,
India,1983,53.86,,,
India,1987,44.76,,,
India,1993,45.91,,,
India,2004,38.21,,,
India,2009,31.1,,,
India,2011,21.23,,,
Indonesia,1984,70.31,,,
Indonesia,1987,70.13,,,
Indonesia,1990,57.27,,,
Indonesia,1993,57.06,,,
Indonesia,1996,45.89,,,
Indonesia,1998,65.32,,,
Indonesia,1999,39.99,,,
Indonesia,2000,39.75,,,
Indonesia,2001,35.98,,,
Indonesia,2002,23.4,,,
Indonesia,2003,23.25,,,
Indonesia,2004,24.37,,,
Indonesia,2005,21.63,,,
Indonesia,2006,27.95,,,
Indonesia,2007,22.76,,,
Indonesia,2008,21.55,,,
Indonesia,2009,18.43,,,
Indonesia,2010,15.95,,,
Indonesia,2011,13.58,,,
Indonesia,2012,11.76,,,
Indonesia,2013,9.83,,,
Indonesia,2014,8.25,,,
Iran,1986,7.4,,,
Iran,1990,6,,,
Iran,1994,3.18,,,
Iran,1998,2.56,,,
Iran,2005,2.61,,,
Iran,2009,0.26,,,
Iran,2013,0.08,,,
Jamaica,1988,7.23,,,
Jamaica,1990,4.56,,,
Jamaica,1993,9.75,,,
Jamaica,1996,3.43,,,
Jamaica,1999,2.61,,,
Jamaica,2002,2.74,,,
Jamaica,2004,1.7,,,
Kazakhstan,1988,0.02,,,
Kazakhstan,1993,6.53,,,
Kazakhstan,1996,6.33,,,
Kazakhstan,2001,10.5,,,
Kazakhstan,2002,6.81,,,
Kazakhstan,2003,4.47,,,
Kazakhstan,2004,3.04,,,
Kazakhstan,2005,0.21,,,
Kazakhstan,2006,0.62,,,
Kazakhstan,2007,0.53,,,
Kazakhstan,2008,0.13,,,
Kazakhstan,2009,0.17,,,
Kazakhstan,2010,0.12,,,
Kazakhstan,2011,0.03,,,
Kazakhstan,2012,0.06,,,
Kazakhstan,2013,0.04,,,
Kenya,1992,23.08,,,
Kenya,1994,18.84,,,
Kenya,1997,21.5,,,
Kenya,2005,33.6,,,
Kiribati,2006,14.14,,,
Kosovo,2003,1.74,,,
Kosovo,2005,2.97,,,
Kosovo,2006,3.23,,,
Kosovo,2009,2.67,,,
Kosovo,2010,2.17,,,
Kosovo,2011,1.41,,,
Kosovo,2012,0.56,,,
Kosovo,2013,0.78,,,
Kyrgyzstan,1988,6.73,,,
Kyrgyzstan,1993,44.31,,,
Kyrgyzstan,1998,30.59,,,
Kyrgyzstan,2000,42.21,,,
Kyrgyzstan,2001,36.42,,,
Kyrgyzstan,2002,34.21,,,
Kyrgyzstan,2003,28.07,,,
Kyrgyzstan,2004,13.59,,,
Kyrgyzstan,2005,15.38,,,
Kyrgyzstan,2006,9.87,,,
Kyrgyzstan,2007,9.94,,,
Kyrgyzstan,2008,4.01,,,
Kyrgyzstan,2009,2.13,,,
Kyrgyzstan,2010,4.08,,,
Kyrgyzstan,2011,1.81,,,
Kyrgyzstan,2012,2.91,,,
Kyrgyzstan,2013,3.26,,,
Kyrgyzstan,2014,1.29,,,
Laos,1992,22.85,,,
Laos,1997,30.67,,,
Laos,2002,26.14,,,
Laos,2007,19.62,,,
Laos,2012,16.72,,,
Latin America & Caribbean,1981,16.15,,,
Latin America & Caribbean,1984,19,,,
Latin America & Caribbean,1987,14.73,,,
Latin America & Caribbean,1990,15.84,,,
Latin America & Caribbean,1993,14.42,,,
Latin America & Caribbean,1996,14.23,,,
Latin America & Caribbean,1999,13.86,,,
Latin America & Caribbean,2002,12.99,,,
Latin America & Caribbean,2005,9.85,,,
Latin America & Caribbean,2008,7.13,,,
Latin America & Caribbean,2010,6.46,,,
Latin America & Caribbean,2011,5.98,,,
Latin America & Caribbean,2012,5.55,,,
Latin America & Caribbean,2013,5.4,,,
Latvia,1988,0.03,,,
Latvia,1993,0,,,
Latvia,1995,0,,,
Latvia,1996,1.57,,,
Latvia,1997,1.39,,,
Latvia,1998,1.63,,,
Latvia,2002,0.65,,,
Latvia,2003,0.56,,,
Latvia,2004,2.75,,,
Latvia,2005,2.74,,,
Latvia,2006,1.25,,,
Latvia,2007,0.02,,,
Latvia,2008,1.48,,,
Latvia,2009,0.29,,,
Latvia,2010,1.93,,,
Latvia,2011,1.31,,,
Latvia,2012,1.38,,,
Lesotho,1986,74.77,,,
Lesotho,1994,69.56,,,
Lesotho,2002,61.31,,,
Lesotho,2010,59.65,,,
Liberia,2007,68.64,,,
Lithuania,1988,0.08,,,
Lithuania,1993,6.97,,,
Lithuania,1996,0,,,
Lithuania,1998,0.32,,,
Lithuania,1999,0.35,,,
Lithuania,2000,0.3,,,
Lithuania,2001,0.59,,,
Lithuania,2002,0.51,,,
Lithuania,2003,0.19,,,
Lithuania,2004,0.11,,,
Lithuania,2005,1.78,,,
Lithuania,2006,1.55,,,
Lithuania,2007,1.23,,,
Lithuania,2008,1.43,,,
Lithuania,2009,2.41,,,
Lithuania,2010,1.71,,,
Lithuania,2011,0.87,,,
Lithuania,2012,1.03,,,
Low & middle income,1981,51.88,,,
Low & middle income,1984,47.74,,,
Low & middle income,1987,42.25,,,
Low & middle income,1990,42.24,,,
Low & middle income,1993,40.21,,,
Low & middle income,1996,34.41,,,
Low & middle income,1999,33.4,,,
Low & middle income,2002,30.04,,,
Low & middle income,2005,24.12,,,
Low & middle income,2008,21.07,,,
Low & middle income,2010,18.35,,,
Low & middle income,2011,15.91,,,
Low & middle income,2012,14.62,,,
Low & middle income,2013,12.56,,,
Low income,1981,65.07,,,
Low income,1984,66.3,,,
Low income,1987,65.92,,,
Low income,1990,66.86,,,
Low income,1993,70.54,,,
Low income,1996,68.26,,,
Low income,1999,66.57,,,
Low income,2002,64.05,,,
Low income,2005,58.38,,,
Low income,2008,54.54,,,
Low income,2010,52.07,,,
Low income,2011,50.05,,,
Low income,2012,48.07,,,
Low income,2013,46.17,,,
Lower middle income,1981,50.68,,,
Lower middle income,1984,48.72,,,
Lower middle income,1987,46.37,,,
Lower middle income,1990,42.27,,,
Lower middle income,1993,43.07,,,
Lower middle income,1996,38.98,,,
Lower middle income,1999,37.62,,,
Lower middle income,2002,35.56,,,
Lower middle income,2005,30.91,,,
Lower middle income,2008,27.51,,,
Lower middle income,2010,23.5,,,
Lower middle income,2011,20.11,,,
Lower middle income,2012,18.31,,,
Lower middle income,2013,16.35,,,
Macedonia,1998,0.8,,,
Macedonia,2000,5.2,,,
Macedonia,2002,1.31,,,
Macedonia,2003,1.15,,,
Macedonia,2004,1.35,,,
Macedonia,2005,1.38,,,
Macedonia,2006,2.66,,,
Macedonia,2008,1.33,,,
Madagascar,1993,69.36,,,
Madagascar,1997,65.89,,,
Madagascar,1999,64.13,,,
Madagascar,2001,68.68,,,
Madagascar,2005,74.06,,,
Madagascar,2010,81.76,,,
Madagascar,2012,77.84,,,
Malawi,1997,63.63,,,
Malawi,2004,73.63,,,
Malawi,2010,70.91,,,
Malaysia,1984,2.88,,,
Malaysia,1987,2.06,,,
Malaysia,1989,1.63,,,
Malaysia,1992,1.26,,,
Malaysia,1995,1.75,,,
Malaysia,1997,0.4,,,
Malaysia,2004,0.37,,,
Malaysia,2007,0.52,,,
Malaysia,2009,0.28,,,
Maldives,2002,9.99,,,
Maldives,2009,7.26,,,
Mali,1994,84.88,,,
Mali,2001,57.92,,,
Mali,2006,50.59,,,
Mali,2009,49.25,,,
Mauritania,1987,40.05,,,
Mauritania,1993,41.16,,,
Mauritania,1995,20.62,,,
Mauritania,2000,19.64,,,
Mauritania,2004,14.39,,,
Mauritania,2008,10.79,,,
Mauritania,2014,5.93,,,
Mauritius,2006,0.42,,,
Mauritius,2012,0.53,,,
Mexico,1984,7.93,,,
Mexico,1989,7.07,,,
Mexico,1992,9.73,,,
Mexico,1994,9.92,,,
Mexico,1996,14.09,,,
Mexico,1998,14.29,,,
Mexico,2000,11,,,
Mexico,2002,8.81,,,
Mexico,2004,4.82,,,
Mexico,2006,3.29,,,
Mexico,2008,3.8,,,
Mexico,2010,3.8,,,
