Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Belarus,2015,159.4,,,0.547,,,,0.478,0.489,
Belgium,1980,919.5,,,0.9933,,,,7.676,0.3612,
Belgium,1995,754.4,,,0.874,,,,6.8,0.016,
Belgium,2000,650.1,,,0.7358,,,,5.964,0.0382,
Belgium,2005,580.8,,,0.7304,,,,5.45,0.0369,
Belgium,2010,542,,,0.7093,,,,5.256,0.0402,
Belize,1985,114.7,,,0.002,,,,0,0.018,
Belize,1990,,,,,,,,,0.019,
Belize,1995,,,,0.011,,,,,0.02,
Belize,2000,385.2,,,0.0114,,,,0.0212,0.0684,
Benin,1985,24.2,,,0.031,,,,0.015,0.064,
Benin,1990,,,,0.0321,,,,,0.0823,
Benin,1995,,,,0.033,,,,,0.097,
Benin,2000,17.53,,,0.041,,,,0.03,0.059,
Bhutan,1985,,,,0.0072,,,,0.002,,
Bhutan,2010,454.5,,,0.017,,,,0.003,0.318,
Bolivia,1985,191.8,,,0.124,,,,0.062,1.054,
Bolivia,2000,,,,,,,,,1.777,
Bolivia,2010,203.9,,,0.136,,,,0.032,1.92,
Bosnia and Herzegovina,2000,,,,0.3218,,,,,,
Bosnia and Herzegovina,2005,87.01,,,,,,,,,
Bosnia and Herzegovina,2010,85.95,,,,,,,0.0488,,
Bosnia and Herzegovina,2015,86.06,,,,,,,,,
Botswana,1985,71.37,,,,,,,,,
Botswana,1990,77.4,,,0.036,,,,0.023,0.054,
Botswana,1995,87.12,,,0.0521,,,,0.0275,0.0638,
Botswana,2000,108.6,,,0.079,,,,0.035,0.08,
Botswana,2005,,,,0.0878,,,,0.0389,,
Brazil,1985,246,,,,,,,,,
Brazil,1995,326.8,,,11.5,,,,9.94,33.43,
Brazil,2005,301.2,,,16.23,,,,10.14,31.7,
Brazil,2010,369.7,,,17.21,,,,12.72,44.9,
Brunei,1990,279.4,,,,,,,,,
Brunei,1995,297,,,,,,,,0.0053,
Brunei,2005,,,,0.1389,,,,,,
Brunei,2010,,,,0.1515,,,,,,
Bulgaria,1980,1590,,,,,,,,,
Bulgaria,1985,1575,,,,,,,,,
Bulgaria,1990,866,,,0.417,,,,4.852,2.225,
Bulgaria,2000,837.3,,,1.07,,,,4.776,0.743,
Bulgaria,2005,819.5,,,,,,,,0.8759,
Bulgaria,2010,782.4,,,0.9483,,,,3.817,0.9494,
Bulgaria,2015,787.3,,,0.8996,,,,3.901,0.8288,
Burkina Faso,1985,35.63,,,0.06,,,,0,0.23,
Burkina Faso,1990,40.44,,,0.073,,,,0,0.303,
Burkina Faso,1995,,,,0.0885,,,,0.003,,
Burkina Faso,2000,58.23,,,0.2789,,,,0.0161,0.4207,
Burkina Faso,2005,57.35,,,0.3756,,,,0.0217,0.4207,
Burundi,1985,19.57,,,0.036,,,,0,0.064,
Burundi,2000,40.22,,,0.049,,,,0.017,0.222,
Burundi,2005,,,,0.0431,,,,0.015,,
Cambodia,1985,,,,0.026,,,,0.0052,,
Cambodia,2005,159.1,,,0.098,,,,0.033,2.053,
Cameroon,1985,35.9,,,0.18,,,,0.076,0.14,
Cameroon,1990,31.26,,,0.184,,,,0.076,0.14,
Cameroon,2000,57.6,,,0.1611,,,,0.0683,0.737,
Cameroon,2005,,,,0.2468,,,,0.1046,,
Canada,1985,1590,,,,,,,,,
Canada,1990,1590,,,5.102,,,,36,3.991,
Canada,1995,1413,,,5.201,,,,32.91,4.104,
Canada,2000,,,,5.413,,,,31.57,,
Canada,2005,1253,,,5.878,,,,33.12,2.322,
Canada,2010,1113,,,,,,,,4.749,
Cape Verde,1990,71.62,,,,,,,,0.022,
Cape Verde,2000,48.31,,,0.0016,,,,0.0004,0.02,
Cape Verde,2005,,,,,,,,,0.025,
Central African Republic,1985,7.052,,,0.015,,,,0.004,0.0004,
Central African Republic,2000,17.15,,,0.0548,,,,0.011,0.0004,
Central African Republic,2005,17.25,,,0.0601,,,,0.012,0.0004,
Chad,1985,33.46,,,0.029,,,,0.004,0.148,
Chad,2000,94.33,,,0.0885,,,,0.0885,0.6722,
Chad,2005,81.6,,,0.1037,,,,0.1037,0.6722,
Chile,1975,,,,1.008,,,,0.84,,
Chile,1990,1496,,,1.095,,,,2.211,,
Chile,2000,,,,1.043,,,,2.324,,
Chile,2005,2152,,,1.267,,,,4.744,29.42,
China,1980,431.1,,,6.769,,,,45.73,391.2,
China,1985,430.2,,,29.69,,,,36.17,415.2,
China,1990,411.4,,,35,,,,50,415,
China,1995,411.9,,,25.16,,,,92.55,407.7,
China,2000,418.4,,,57.5,,,,113.9,378.4,
China,2005,423.2,,,71,,,,140.3,360,
China,2010,435.2,,,72.9,,,,142.4,388,
China,2015,425,,,79.4,,,,133.5,385.2,
Colombia,1995,,,,,,,,,3.308,
Colombia,2000,186.3,,,2.467,,,,0.359,4.92,
Colombia,2010,251.1,,,3.134,,,,2.242,6.391,
Comoros,2000,17.38,,,0.0048,,,,0.0005,0.0047,
Congo,1985,18.17,,,0.0248,,,,0.0108,0.0044,
Congo,2000,14.12,,,0.032,,,,0.01,0.004,
Congo,2005,,,,0.0637,,,,0.024,,
Costa Rica,1995,,,,0.757,,,,,,
Costa Rica,2015,488.8,,,0.76,,,,0.26,1.33,
Cote d'Ivoire,1985,64.81,,,0.156,,,,0.078,0.475,
Cote d'Ivoire,1990,84.31,,,,,,,,,
Cote d'Ivoire,1995,80.54,,,0.162,,,,0.27,0.8,
Cote d'Ivoire,2000,81.99,,,0.5392,,,,0.2696,0.6,
Cote d'Ivoire,2005,82.12,,,0.6359,,,,0.318,0.5953,
Cote d'Ivoire,2010,,,,,,,,,0.5953,
Croatia,2000,,,,,,,,0.0628,0.0059,
Croatia,2005,,,,,,,,,0.0032,
Croatia,2010,156.1,,,0.513,,,,0.1477,0.0086,
Croatia,2015,149.5,,,0.5079,,,,0.126,,
Cuba,1975,,,,0.729,,,,0.162,,
Cuba,1995,473.7,,,1.78,,,,0.765,2.666,
Cuba,2005,437.5,,,1.7,,,,0.7607,2.476,
Cuba,2010,,,,,,,,,3.569,
Cuba,2015,611,,,1.7,,,,0.74,4.519,
Cyprus,1975,232.9,,,0.025,,,,0,0.13,
Cyprus,1980,255.9,,,0.037,,,,0,0.14,
Cyprus,1985,276.5,,,0.045,,,,0,0.155,
Cyprus,1990,282.3,,,0.055,,,,0.005,0.166,
Cyprus,1995,236.9,,,0.05,,,,0.005,0.156,
Cyprus,2000,214.5,,,0.0461,,,,0.0035,0.1606,
Cyprus,2005,203.8,,,0.0656,,,,0.008,0.143,
Cyprus,2010,226.6,,,0.0788,,,,0.006,0.171,
Cyprus,2015,219.1,,,0.0841,,,,,0.1676,
Czech Republic,1995,241.7,,,0.9585,,,,1.514,0.02,
Czech Republic,2000,186.6,,,,,,,,0.0187,
Czech Republic,2005,190.6,,,,,,,,0.0298,
Czech Republic,2010,174.6,,,,,,,,0.0432,
Czech Republic,2015,156.5,,,,,,,,0.044,
Democratic Republic of Congo,1990,,,,0.216,,,,0.058,,
Democratic Republic of Congo,1995,,,,,,,,,0.083,
Democratic Republic of Congo,2000,11.46,,,0.3893,,,,0.1229,0.0719,
Democratic Republic of Congo,2005,11.42,,,0.4649,,,,0.1468,0.0719,
Denmark,1970,144.3,,,0.46,,,,0.08,0.18,
Denmark,1975,236.5,,,0.7,,,,0.045,0.46,
Denmark,1980,235.2,,,0.7,,,,0.045,0.46,
Denmark,1985,333.3,,,0.6746,,,,0.33,0.7,
Denmark,1990,243.9,,,0.571,,,,0.225,0.465,
Denmark,1995,176.7,,,,,,,,0.369,
Denmark,2000,124.4,,,0.4408,,,,0.0619,0.1652,
Denmark,2005,104.4,,,0.411,,,,0.0423,0.1175,
Denmark,2010,116.4,,,0.36,,,,0.128,0.164,
Djibouti,1985,16.47,,,0.001,,,,0,0.007,
Djibouti,2000,25.49,,,0.016,,,,0,0.003,
Dominica,1995,234.6,,,,,,,,,
Dominica,2000,237.8,,,,,,,,,
Dominica,2005,234.5,,,,,,,,,
Dominica,2010,279,,,0.019,,,,0,0.001,
Dominican Republic,2000,550.8,,,0.6,,,,0.065,4.2,
Dominican Republic,2005,575.5,,,0.724,,,,0.259,4.487,
Dominican Republic,2010,704.7,,,0.855,,,,0.586,5.715,
Ecuador,2000,716.7,,,0.9073,,,,0.3852,8.076,
Ecuador,2005,698.2,,,1.293,,,,0.549,8.076,
Egypt,1975,1194,,,,,,,,,
Egypt,1995,909.1,,,3.729,,,,4.429,50.71,
Egypt,2000,963.2,,,5.3,,,,4,59,
Egypt,2010,910.6,,,9,,,,2,67,
El Salvador,1990,135.2,,,0.246,,,,0.147,0.336,
El Salvador,2000,234.3,,,0.379,,,,0.2369,0.76,
El Salvador,2005,353.8,,,0.474,,,,0.213,1.431,
Equatorial Guinea,1985,29.13,,,0.0081,,,,0.0013,0.0006,
Equatorial Guinea,2000,30.65,,,0.0138,,,,0.0026,0.001,
Equatorial Guinea,2005,,,,0.0158,,,,0.003,,
Eritrea,2000,109.1,,,0.0617,,,,0.0617,0.29,
Eritrea,2005,132.1,,,0.031,,,,0.001,0.55,
Estonia,1990,1729,,,,,,,2.253,,
Estonia,1995,963.1,,,0.088,,,,1.262,0.008,
Estonia,2000,1022,,,0.0852,,,,,0.03,
Estonia,2005,1365,,,,,,,,0.0076,
Estonia,2010,1232,,,,,,,,0.0045,
Estonia,2015,1310,,,0.06,,,,1.655,0.005,
Ethiopia,2000,78.96,,,0.333,,,,0.021,5.204,
Ethiopia,2005,97.18,,,0.81,,,,0.0511,7,
Ethiopia,2015,106.1,,,,,,,,9.687,
Fiji,1985,41.57,,,0.006,,,,0.006,0.018,
Fiji,2000,100.2,,,0.0229,,,,0.0088,0.05,
Fiji,2005,101.7,,,0.0253,,,,0.0096,0.05,
Finland,1970,710.4,,,,,,,,,
Finland,1975,749.1,,,,,,,,,
Finland,1980,766.7,,,,,,,,,
Finland,1985,810.2,,,,,,,,,
Finland,1990,466.1,,,0.424,,,,1.903,0.02,
Finland,1995,503,,,0.412,,,,2.124,0.05,
Finland,2000,447.6,,,0.404,,,,,0.05,
Finland,2005,1241,,,0.4094,,,,,0.05,
Finland,2010,,,,0.4,,,,,,
Finland,2015,,,,0.415,,,,,,
France,1980,568,,,,,,,,,
France,1985,623,,,5.904,,,,24.51,,
France,1990,682.1,,,5.982,,,,28.32,4.919,
France,1995,517.3,,,5.89,,,,21.1,3.35,
France,2000,538.8,,,5.966,,,,22.11,4.291,
France,2005,506.9,,,5.683,,,,21.79,3.933,
France,2010,475.6,,,5.481,,,,21.61,3.143,
Gabon,1985,68.42,,,0.0432,,,,0.0132,0.0036,
Gabon,2000,93.33,,,0.0686,,,,0.0114,0.0403,
Gabon,2005,96.53,,,0.0847,,,,0.0141,0.0403,
Gambia,1980,30.85,,,0.0014,,,,0.0004,0.0182,
Gambia,2000,69.19,,,0.0339,,,,0.0174,0.0392,
Gambia,2005,,,,0.0412,,,,0.0212,,
Georgia,2000,,,,0.336,,,,0.1952,,
Georgia,2005,413.4,,,0.358,,,,0.4,1.055,
Georgia,2010,440.4,,,,,,,,,
Germany,1990,577.8,,,,,,,,1.6,
Germany,1995,551.3,,,5.8,,,,37.8,1.6,
Germany,2000,479.2,,,5.409,,,,32.6,1.14,
Germany,2005,399.5,,,,,,,,0.1317,
Germany,2010,410.5,,,,,,,,0.2109,
Ghana,1970,33.03,,,0.105,,,,0.039,0.156,
Ghana,2000,49.63,,,0.235,,,,0.095,0.652,
Ghana,2010,,,,0.255,,,,,,
Ghana,2015,,,,0.251,,,,,,
Greece,1970,480.4,,,,,,,,2.425,
Greece,1975,462,,,0.585,,,,0.1148,3.576,
Greece,1980,515.8,,,,,,,,,
Greece,1985,550.7,,,0.656,,,,0.24,4.6,
Greece,1990,778.8,,,,,,,,7.9,
Greece,1995,805.2,,,0.8614,,,,0.2339,7.6,
Greece,2000,840.9,,,,,,,,8.42,
Greece,2005,865.2,,,0.8462,,,,0.3255,8.458,
Greece,2010,,,,1.293,,,,,7.918,
Grenada,1995,,,,,,,,,0.0022,
Grenada,2005,96.53,,,,,,,,,
Grenada,2015,132,,,0.012,,,,0,0.0021,
Guatemala,1990,,,,0.104,,,,0.197,,
Guatemala,2000,,,,0.4298,,,,,1.472,
Guatemala,2005,240.9,,,0.835,,,,0.6031,1.886,
Guinea,1985,137.7,,,0.074,,,,0.022,0.644,
Guinea,2000,60.71,,,0.2083,,,,0.0521,0.2929,
Guinea,2005,,,,0.2248,,,,0.0562,,
Guinea-Bissau,1990,15.02,,,0.01,,,,0.0006,0.006,
Guinea-Bissau,1995,141.8,,,0.023,,,,0.008,0.144,
Guinea-Bissau,2000,127.6,,,0.023,,,,0.008,0.144,
Guinea-Bissau,2005,,,,0.0341,,,,0.0119,,
Guyana,1990,2035,,,0.015,,,,0.007,1.438,
Guyana,2000,2207,,,0.03,,,,0.01,1.6,
Guyana,2005,,,,0.0613,,,,0.0204,,
Guyana,2010,1905,,,0.0613,,,,0.0204,1.363,
Haiti,1990,132.7,,,0.0499,,,,0.0054,0.9246,
Haiti,1995,158.4,,,0.111,,,,0.0046,1.169,
Haiti,2010,140.9,,,0.19,,,,0.051,1.209,
Honduras,1990,,,,0.061,,,,0.076,,
Honduras,2005,225.3,,,0.315,,,,0.114,1.178,
Hungary,1970,286.1,,,0.648,,,,1.667,0.665,
Hungary,1975,372.3,,,0.7631,,,,2.312,0.8903,
Hungary,1980,448.2,,,,,,,,,
Hungary,1985,605.9,,,0.5715,,,,3.493,2.286,
Hungary,1990,688.6,,,0.9841,,,,5.204,0.949,
Hungary,1995,582.9,,,0.8288,,,,4.726,0.4556,
Hungary,2000,562.5,,,0.8311,,,,4.209,0.6796,
Hungary,2005,554.8,,,0.793,,,,4.486,0.3054,
Hungary,2010,507.2,,,0.716,,,,4.013,0.322,
Hungary,2015,,,,0.5945,,,,,,
Iceland,1980,463.3,,,0.094,,,,0.01,0.004,
Iceland,1985,453.6,,,0.098,,,,0.01,0.004,
Iceland,1990,642.6,,,0.087,,,,0.01,0.07,
Iceland,2000,575.1,,,0.081,,,,0.014,0.07,
Iceland,2005,540.3,,,0.081,,,,0.014,0.07,
Iceland,2010,11042,,,0.094,,,,0.2,0.0003,
Iceland,2015,844.9,,,0.08,,,,0.198,0.0003,
India,1975,583.8,,,11.4,,,,15.2,353.4,
India,1980,600.2,,,14.05,,,,12.6,411.7,
India,1985,608.6,,,18.36,,,,11,468,
India,1990,551.6,,,25,,,,15,460,
India,2000,559.9,,,42,,,,10,558.4,
India,2010,602.3,,,56,,,,17,688,
Indonesia,1990,395.9,,,4.729,,,,0.376,69.24,
Indonesia,2000,521.2,,,13.13,,,,7.398,92.76,
Indonesia,2005,,,,13.99,,,,24.65,,
Iran,1975,1293,,,,,,,,,
Iran,1995,1330,,,6,,,,1,76,
Iran,2000,1325,,,4.925,,,,1.025,83.75,
Iran,2005,1301,,,6.2,,,,1.1,86,
Iraq,1975,3255,,,0.58,,,,0.45,39.53,
Iraq,1980,2826,,,0.715,,,,0.31,39.77,
Iraq,1985,2517,,,0.85,,,,0.17,40,
Iraq,1990,2317,,,1.28,,,,2.14,39.38,
Iraq,1995,2528,,,2.79,,,,5.92,45.69,
Iraq,2000,2646,,,4.3,,,,9.7,52,
Ireland,1970,,,,,,,,,0.179,
Ireland,1980,305.6,,,0.413,,,,0.527,0.13,
Ireland,1995,317.3,,,0.47,,,,0.527,0.179,
Ireland,2000,,,,0.58,,,,,,
Ireland,2005,166.3,,,0.679,,,,0.051,,
Ireland,2010,162.2,,,0.628,,,,,,
Israel,1970,515.5,,,0.24,,,,0.075,1.249,
Israel,1975,464.4,,,0.3075,,,,0.0825,1.242,
Israel,1980,437.7,,,0.375,,,,0.09,1.235,
Israel,1985,450.7,,,,,,,,,
Israel,1990,375.3,,,0.482,,,,0.106,1.216,
Israel,1995,321.8,,,,,,,,,
Israel,2000,293.4,,,0.688,,,,0.122,1.021,
Israel,2005,282.3,,,0.712,,,,0.113,1.129,
Israel,2010,,,,,,,,,1.016,
Italy,1970,766.7,,,7,,,,9,25.6,
Italy,1975,,,,7.434,,,,12.09,,
Italy,1980,,,,7.868,,,,15.17,,
Italy,1985,,,,7.184,,,,13.84,,
Italy,1990,,,,6.5,,,,12.5,,
Italy,2000,787.6,,,9.111,,,,16.29,20.01,
Italy,2005,,,,8.942,,,,,12.89,
Italy,2010,899.8,,,9.451,,,,,,
Jamaica,1995,366.1,,,0.167,,,,0.065,0.696,
Jamaica,2005,300.2,,,0.288,,,,0.076,0.448,
Japan,1980,749.3,,,13.7,,,,16.5,58,
Japan,1990,742,,,17,,,,15.8,58.6,
Japan,1995,713.6,,,16.34,,,,14.01,58.88,
Japan,2000,670.5,,,16.28,,,,12.32,56.05,
Japan,2005,652.1,,,15.7,,,,12.78,54.5,
Japan,2010,640.6,,,15.41,,,,11.61,54.43,
Jordan,1975,215.6,,,0.131,,,,0.027,0.293,
Jordan,1980,217.2,,,0.133,,,,0.025,0.377,
Jordan,1985,207.6,,,0.135,,,,0.023,0.461,
Jordan,1990,262.8,,,0.214,,,,0.033,0.737,
Jordan,2000,162.6,,,0.249,,,,0.037,0.517,
Jordan,2005,161.8,,,0.294,,,,0.049,0.589,
Jordan,2010,121.4,,,0.354,,,,0.033,0.462,
Jordan,2015,145.4,,,0.491,,,,0.038,0.575,
Kazakhstan,1995,2177,,,0.583,,,,5.678,27.41,
Kazakhstan,2000,1312,,,0.831,,,,4.07,14.8,
Kazakhstan,2005,1315,,,0.853,,,,5.839,14.03,
Kazakhstan,2010,1257,,,0.878,,,,6.263,14,
Kenya,1990,81.86,,,0.403,,,,0.08,1.566,
Kenya,2000,,,,,,,,,1.01,
Kenya,2005,62.28,,,0.47,,,,0.1,1.75,
Kenya,2010,75.64,,,1.186,,,,0.125,1.907,
Kuwait,1995,319.1,,,0.201,,,,0.013,0.324,
Kuwait,2000,447.2,,,0.4005,,,,0.0208,0.4919,
Kuwait,2005,,,,0.4483,,,,0.0233,,
Kyrgyzstan,1995,2131,,,0.301,,,,0.289,9.496,
Kyrgyzstan,2000,2005,,,0.32,,,,0.31,9.45,
Kyrgyzstan,2005,1531,,,0.224,,,,0.336,7.447,
Kyrgyzstan,2010,,,,,,,,,7.1,
Laos,1985,,,,0.0792,,,,0.099,,
Laos,2005,588,,,0.13,,,,0.17,3.193,
Latvia,1995,171.7,,,,,,,,0.036,
Latvia,2000,110.6,,,,,,,,0.0532,
Latvia,2005,100.5,,,0.125,,,,0.0426,0.0506,
Latvia,2010,127.7,,,0.1631,,,,0.0563,0.0408,
Latvia,2015,125.8,,,0.1593,,,,0.0522,0.0363,
Lebanon,1975,288.2,,,0.083,,,,0.03,0.638,
Lebanon,1995,418,,,0.368,,,,0.05,0.875,
Lebanon,2000,406.8,,,0.4341,,,,0.0789,0.92,
Lebanon,2005,320.7,,,0.38,,,,0.15,0.78,
Lesotho,1985,32.89,,,0.011,,,,0.011,0.028,
Lesotho,2000,23.24,,,0.02,,,,0.02,0.0038,
Liberia,1985,59.2,,,0.0351,,,,0.0169,0.078,
Liberia,2000,42.59,,,0.0711,,,,0.0474,0.0123,
Liberia,2005,,,,0.0802,,,,0.0534,,
Libya,1975,422.5,,,,,,,,,
Libya,1980,426.1,,,,,,,,,
Libya,1985,764,,,0.393,,,,,1.965,
Libya,1990,1035,,,0.41,,,,0.07,4.28,
Libya,1995,908.7,,,0.5,,,,0.1,4,
Libya,2000,784,,,0.61,,,,0.132,3.584,
Libya,2005,809.1,,,,,,,,,
Libya,2010,927.9,,,0.7,,,,0.28,4.85,
Lithuania,1995,1218,,,0.205,,,,4.139,0.008,
Lithuania,2000,806.3,,,0.172,,,,2.543,0.053,
Lithuania,2005,695.2,,,,,,,,0.0818,
Lithuania,2010,209.4,,,0.1499,,,,0.4159,0.0656,
Luxembourg,1970,84.92,,,,,,,,,
Luxembourg,1975,102.6,,,,,,,,,
Luxembourg,1980,95.2,,,,,,,,,
Luxembourg,1985,159.9,,,,,,,,,
Luxembourg,1990,,,,0.0561,,,,,,
Luxembourg,1995,130.5,,,0.042,,,,0.0144,0.0002,
Luxembourg,2000,136.4,,,0.0461,,,,0.0142,0.0002,
Luxembourg,2010,83.57,,,0.0406,,,,0.0037,0.0002,
Luxembourg,2015,76,,,0.0408,,,,0.002,0.0003,
Macedonia,1995,789.7,,,0.215,,,,0.274,1.066,
Macedonia,2000,312.1,,,0.2121,,,,0.1397,0.2814,
Macedonia,2005,268.7,,,0.2264,,,,0.1993,0.1255,
Macedonia,2015,,,,0.2317,,,,0.107,,
Madagascar,1985,1543,,,0.163,,,,0,16.14,
Madagascar,2000,798.9,,,0.2388,,,,0.1308,13,
Madagascar,2005,700,,,0.395,,,,0.1619,13,
Malawi,1985,,,,0.054,,,,0.027,,
Malawi,1990,,,,0.0768,,,,0.0298,,
Malawi,1995,91.23,,,0.095,,,,0.032,0.809,
Malawi,2000,112.4,,,0.1196,,,,0.0399,1.166,
Malawi,2005,100.5,,,0.1431,,,,0.0477,1.166,
Malaysia,1990,526.9,,,0.818,,,,0.999,8.3,
Malaysia,1995,251.7,,,1.342,,,,1.641,2.505,
Malaysia,2000,381.3,,,3.053,,,,3.747,2.505,
Malaysia,2005,419,,,3.902,,,,4.788,2.505,
Maldives,1985,16.74,,,0.0033,,,,0.0001,0,
Maldives,2000,,,,0.0062,,,,0.0002,,
Maldives,2010,17.11,,,0.0056,,,,0.0003,0,
Mali,1985,168.5,,,0.027,,,,0.014,1.319,
Mali,1995,,,,,,,,,3.725,
Mali,2000,,,,,,,,,4.99,
Mali,2005,376.9,,,0.107,,,,0.004,5.075,
Malta,1970,,,,0.016,,,,,,
Malta,1975,,,,0.0179,,,,,,
Malta,1980,61.16,,,,,,,,,
Malta,1985,,,,0.0269,,,,0,,
Malta,1995,147.8,,,0.049,,,,0,0.007,
Malta,2000,137.5,,,0.0344,,,,0.0005,0.0189,
Malta,2005,138.2,,,0.0344,,,,0.001,0.0203,
Malta,2010,96.01,,,0.0148,,,,0.001,0.0241,
Malta,2015,108.2,,,0.0153,,,,0.001,0.029,
Mauritania,1980,449.5,,,0.088,,,,0.029,0.613,
Mauritania,1985,,,,0.1,,,,,1.5,
Mauritania,2000,554.9,,,0.0759,,,,0.0253,1.5,
Mauritania,2005,405.6,,,0.0954,,,,0.0318,1.223,
Mauritius,1975,390.3,,,0.0584,,,,0.0248,0.2768,
Mauritius,1990,522.6,,,,,,,,,
Mauritius,1995,532.9,,,0.108,,,,0.047,0.46,
Mauritius,2000,507.5,,,,,,,,,
Mauritius,2005,588,,,0.214,,,,0.02,0.491,
Mexico,1980,771.9,,,,,,,,,
Mexico,1995,,,,,,,,,62.5,
Mexico,2000,687.6,,,9.6,,,,6.9,56.1,
Mexico,2005,697.8,,,11.16,,,,7.22,60.57,
Mexico,2010,677.7,,,11.98,,,,7.403,63.35,
Mexico,2015,674.4,,,12.48,,,,7.825,65.36,
Moldova,1990,448.7,,,0.269,,,,0.919,0.775,
Moldova,1995,,,,,,,,,0.35,
Moldova,2000,,,,0.164,,,,0.9912,,
Moldova,2005,258,,,0.146,,,,0.8825,0.036,
Moldova,2010,,,,,,,,,0.039,
Moldova,2015,,,,,,,,,0.038,
Monaco,1990,224.4,,,0.0067,,,,0,0,
Monaco,1995,192.1,,,0.006,,,,0,0,
Monaco,2000,177.6,,,0.0058,,,,0,0,
Monaco,2005,156.9,,,0.0055,,,,0,0,
Monaco,2010,133.7,,,0.005,,,,0,0,
Mongolia,1995,183.2,,,0.085,,,,0.116,0.227,
Mongolia,2005,208.3,,,0.098,,,,0.218,0.224,
Mongolia,2010,196.2,,,0.071,,,,0.238,0.242,
Montenegro,2005,,,,,,,,0.0673,0.0066,
Montenegro,2010,257.9,,,0.0964,,,,0.0628,0.0017,
Morocco,1975,481.6,,,,,,,,,
