Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, total male","Human capital, total female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income
Middle East & North Africa (developing countries),2000,27262.74,6112.86,7697.89,,27.93,30.01,188.39,,2119.04,2530.29,,,2708.53,54.31,0.13,39.26,14142.74,,,-690.75,,,,
Middle East & North Africa (developing countries),2005,34790.24,7885.84,13346.72,,21.57,28.73,364.50,,2274.19,2460.69,,,7962.61,189.58,0.21,44.66,15670.33,,,-2112.65,,,,
Middle East & North Africa (developing countries),2010,46547.69,9092.51,20426.05,,15.88,26.93,634.41,,2538.26,3119.13,,,13029.26,518.64,0.00,543.54,18075.14,,,-1046.01,,,,
Middle East & North Africa (developing countries),2014,48494.95,9777.50,20758.78,,22.62,24.57,889.14,,2386.37,2877.67,,,13470.08,483.09,0.00,605.23,19384.03,,,-1425.36,,,,
North America,1995,782369.88,144283.24,19376.08,,1272.85,7340.60,1357.95,,2862.08,2234.45,,,1716.36,1005.81,1281.17,304.81,622124.35,,,-3413.79,,,,
North America,2000,901889.36,165051.79,19264.07,,1118.61,6945.25,1383.74,,2950.30,2059.99,,,1329.52,1549.37,1703.96,223.33,724656.13,,,-7082.63,,,,
North America,2005,962328.59,196548.31,21841.29,,837.93,6652.77,1205.97,,2629.71,1814.22,,,2739.49,2976.52,2725.72,258.96,751681.57,,,-7742.59,,,,
North America,2010,945003.76,206688.59,27665.01,,720.43,6424.58,1583.86,,3622.24,2193.26,,,4348.93,2416.06,4908.96,1446.70,720484.94,,,-9834.78,,,,
North America,2014,986620.53,217570.78,26513.60,,655.76,6242.69,2031.62,,4389.25,2611.28,,,4296.67,157.48,4558.74,1570.12,762896.49,,,-20360.34,,,,
South Asia,1995,9250.63,2105.94,2875.80,,22.09,42.29,138.42,,1444.15,1055.25,,,59.47,6.90,80.08,27.16,4453.81,,,-184.91,,,,
South Asia,2000,10523.18,2303.73,2852.30,,19.39,38.60,148.38,,1367.67,1099.00,,,71.30,11.42,69.40,27.16,5540.67,,,-173.51,,,,
South Asia,2005,12511.38,2876.16,2930.65,,16.09,36.37,146.16,,1266.48,1101.60,,,112.48,35.72,148.10,67.68,6884.54,,,-179.98,,,,
South Asia,2010,15709.88,3923.96,4074.20,,26.34,34.63,171.54,,1741.68,1260.84,,,154.36,53.86,351.02,279.97,8033.10,,,-321.37,,,,
South Asia,2014,18399.67,4796.74,4633.18,,32.17,33.04,136.94,,1941.03,1601.89,,,179.92,55.32,376.73,276.20,9393.06,,,-423.31,,,,
South Asia (developing countries),1995,9250.63,2105.94,2875.80,,22.09,42.29,138.42,,1444.15,1055.25,,,59.46,6.89,80.08,27.16,4453.81,,,-184.91,,,,
South Asia (developing countries),2000,10523.18,2303.73,2852.30,,19.39,38.60,148.38,,1367.67,1099.00,,,71.29,11.41,69.40,27.16,5540.67,,,-173.51,,,,
South Asia (developing countries),2005,12511.38,2876.16,2930.65,,16.09,36.37,146.16,,1266.48,1101.60,,,112.45,35.71,148.10,67.68,6884.54,,,-179.98,,,,
South Asia (developing countries),2010,15709.88,3923.96,4074.20,,26.34,34.63,171.54,,1741.68,1260.84,,,154.32,53.85,351.02,279.97,8033.10,,,-321.37,,,,
South Asia (developing countries),2014,18399.67,4796.74,4633.18,,32.17,33.04,136.94,,1941.03,1601.89,,,179.88,55.30,376.73,276.20,9393.06,,,-423.31,,,,
Sub-Saharan Africa,1995,26402.80,4354.28,13679.89,,985.21,328.83,1261.49,,5980.03,2694.35,,,2871.51,20.22,162.53,175.26,9397.06,,,-1028.43,,,,
Sub-Saharan Africa,2000,21963.52,3816.35,10046.38,,815.76,280.16,915.15,,4257.24,1857.47,,,2402.23,18.70,111.74,66.59,8771.06,,,-670.27,,,,
Sub-Saharan Africa,2005,22668.58,4945.31,9601.05,,608.21,239.40,816.41,,3943.07,1538.94,,,2846.10,61.84,201.41,132.70,8507.37,,,-385.15,,,,
Sub-Saharan Africa,2010,25361.50,3882.76,10299.73,,583.75,203.07,990.95,,3524.18,1703.23,,,3284.85,122.79,325.57,488.34,11297.63,,,-118.61,,,,
Sub-Saharan Africa,2014,25562.30,4017.44,9224.91,,525.42,179.33,1138.23,,2824.35,1735.39,,,2480.06,107.71,233.39,656.28,12680.12,,,-360.16,,,,
Sub-Saharan Africa (developing countries),1995,26402.80,4354.28,13679.89,,985.21,328.83,1261.49,,5980.03,2694.35,,,2082.82,12.42,159.48,175.26,9397.06,,,-1028.43,,,,
Sub-Saharan Africa (developing countries),2000,21963.52,3816.35,10046.38,,815.76,280.16,915.15,,4257.24,1857.47,,,1730.87,11.40,111.74,66.59,8771.06,,,-670.27,,,,
Sub-Saharan Africa (developing countries),2005,22668.58,4945.31,9601.05,,608.21,239.40,816.41,,3943.07,1538.94,,,2078.22,42.69,201.41,132.70,8507.37,,,-385.15,,,,
Sub-Saharan Africa (developing countries),2010,25361.50,3882.76,10299.73,,583.75,203.07,990.95,,3524.18,1703.23,,,2396.71,83.94,325.57,488.34,11297.63,,,-118.61,,,,
Sub-Saharan Africa (developing countries),2014,25562.30,4017.44,9224.91,,525.42,179.33,1138.23,,2824.35,1735.39,,,1855.30,77.22,233.39,656.28,12680.12,,,-360.16,,,,
Upper middle income,1995,52135.48,10809.87,9129.05,,568.90,1507.35,533.09,,3560.69,1858.23,,,656.12,133.03,133.46,179.24,32898.72,,,-702.16,,,,
Upper middle income,2000,58652.46,12424.01,9286.67,,424.86,1412.48,648.23,,3962.50,1842.77,,,721.65,69.44,63.40,142.37,37745.52,,,-803.74,,,,
Upper middle income,2005,68118.48,16144.81,12171.05,,373.75,1342.02,1051.29,,4530.20,2163.87,,,1570.42,142.73,542.71,456.07,40420.30,,,-617.68,,,,
Upper middle income,2010,95606.54,22082.63,17187.67,,460.94,1286.88,1340.91,,5289.01,2472.29,,,2562.31,203.82,1704.92,1869.78,56535.64,,,-199.41,,,,
Upper middle income,2014,114444.87,28526.93,18960.00,,468.62,1247.63,1635.08,,6176.00,2809.76,,,2850.18,235.19,1568.65,1972.41,67389.66,,,-431.71,,,,
World,1995,130032.24,30792.50,9802.66,,489.68,1522.67,699.98,,3060.44,1771.78,,,1613.54,336.46,182.64,186.37,89977.11,,,-540.04,,,,
World,2000,139030.60,32801.35,9462.65,,405.68,1418.95,735.32,,2945.52,1625.21,,,1765.62,324.69,154.83,157.21,97444.82,,,-678.22,,,,
World,2005,147107.46,37237.28,11486.58,,341.82,1329.69,833.82,,3068.71,1658.71,,,2912.95,622.93,463.05,373.57,98922.71,,,-539.11,,,,
World,2010,159404.18,41569.86,15018.52,,360.37,1248.87,989.94,,3485.57,1838.48,,,4128.36,616.11,1135.72,1385.74,103210.91,,,-395.10,,,,
World,2014,169349.10,44760.26,15840.88,,353.50,1194.66,1148.77,,3819.11,2062.90,,,4408.47,507.72,1022.62,1497.25,109423.50,,,-675.55,,,,
